filename,words
/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/results/stripped/author/tagged_JMLP.txt_stripped.txt,112125
/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/results/stripped/author/tagged_MLP.txt_stripped.txt,79281
