first,second,likelihood_ratio
passage,ailleurs,24.405426036956055
peuple,français,381.7019887127634
peuple,france,32.54442437745787
peuple,souverain,21.30699853903861
peuple,libre,18.474293919645508
peuple,soit,7.532880593629178
peuple,plus,0.09190616947006303
légitime,peuple,37.160024612677006
maîtrise,frontières,42.187378423762105
dernières,années,174.37093041433818
police,gendarmerie,50.15933539320952
augmentation,euros,24.075875424360554
sais,bien,15.817983132688301
sais,france,6.1359633948343175
moindre,choses,75.88222680511088
moindre,coût,31.180380289394936
saccage,social,29.689893882875666
mode,scrutin,59.098073567763635
équivalent,ville,47.066115991300116
syndic,faillite,86.63394507434548
politico,médiatique,45.051455686526054
histoire,france,49.9810038722496
histoire,pays,13.627393129394768
étais,contre,44.35067626800348
savez,bien,30.277634025380046
savez,monsieur,8.311283949221995
bulletin,vote,39.017738476588335
partenaires,européens,54.49965131326168
expliquer,français,10.966204525786608
cotisations,sociales,54.86925347894047
politique,française,58.55885770266596
politique,agricole,40.80576164464161
politique,ville,21.226233032392493
politique,internationale,19.33037210895442
politique,sens,11.607878796218195
politique,aujourd,5.878007162775085
politique,mais,1.5310262850899723
politique,français,0.22587870598661963
paix,civile,53.58256495195188
public,faut,16.016119486782898
ouverture,totale,98.2709016412735
service,public,113.53486449571379
baisse,salaires,101.80739804394939
affaire,merah,28.575873110698932
vers,france,5.60072078911738
chose,bien,4.3541554070913
compatriotes,métropole,49.87847707903578
compatriotes,outre,28.904610827468122
compatriotes,zones,25.292361901486153
compatriotes,chers,14.478218265979102
sait,pertinemment,49.68968820716384
sait,bien,33.67525731170479
échec,nicolas,28.416288580190773
guerre,civile,32.990811680631374
education,nationale,37.756764395598054
fracture,politique,34.8444126684765
fracture,entre,20.541868730830522
cantonales,mars,42.37532122987088
citoyens,entière,36.76816155053346
sera,fier,25.86993472175858
sera,plus,6.144637555410889
sera,france,5.159886765187527
terre,france,15.711315632096222
priorité,nationale,135.12921832735182
priorité,accès,38.468527429906786
payent,plein,80.14090006864676
coups,milliards,27.72328728585848
exactement,inverse,88.15008571443053
exactement,chose,26.342742083750412
change,choses,22.670827372115617
zone,euro,64.99822531228601
religieux,ostentatoire,50.27757875127748
2011,contre,20.887555093302495
jeunesse,france,30.060481507225756
doivent,connaître,43.798223550208405
doivent,faire,23.653564096604242
doivent,pouvoir,10.305479668718583
aides,sociales,139.51360634496794
celles,plus,9.07903438483713
trois,jours,36.47641510495951
trois,quatre,31.62696969010202
trois,mois,31.52325988714575
trois,enfants,18.636313556601113
hommes,femmes,86.08025717353152
producteurs,lait,45.923588460949496
kosciusko,morizet,150.8958560085723
bonne,volonté,47.48637652893489
cour,comptes,44.6003167538117
campagne,présidentielle,133.84953997133408
campagne,électorale,26.84636243986862
campagne,monsieur,8.385215183954607
coup,pouce,61.1663749729712
coup,etat,16.40315862298855
rapports,entre,29.199495646218217
gagner,argent,34.31664319508113
gagner,nous,20.51332798115445
vents,mondialisation,61.531674541068355
matière,santé,40.13836374526158
matière,immigration,35.98503444690027
présidence,république,59.16957489693535
small,business,84.13288879712212
retour,monnaies,102.17340772797412
retour,france,11.18115361725291
partir,moment,49.640776816545085
partis,politiques,55.56657736079934
partis,système,17.873631351939174
délinquants,étrangers,37.64264161433652
territoires,ruraux,61.11260463894022
amour,france,16.886733474910134
amour,pays,15.296028081163067
homme,femme,31.046409295999755
candidate,élection,21.941216141552665
souffrent,plus,14.520159334461315
national,aurait,15.488814769481762
national,parti,14.546494442728967
politiques,gauche,20.244611342090227
enfin,veux,29.913329608470907
enfin,écoutez,21.647196612915522
enfin,monsieur,6.867893878209805
enfin,plus,1.575383114590513
extrêmement,claire,35.55714434405036
extrêmement,difficile,25.85008047545284
aménagement,territoire,41.10745896040239
promesses,tenues,52.120868379990135
décider,entre,23.73720603596746
système,protection,155.98566817682575
système,ultralibéral,33.65796138398449
système,économique,26.432260342979262
système,construit,24.736707435503646
fonction,publique,46.06552217495012
ailleurs,certain,13.027998365037236
candidats,présidentielle,26.796278244247237
candidats,système,12.740344786523902
franc,euro,37.437593624966915
yeux,français,17.00928509636853
cohérence,action,29.551431982396956
oubliés,invisibles,32.990811680631374
tous,enfants,29.135714725510972
tous,français,21.789006130450197
générations,futures,67.38134031673492
quelque,sorte,202.3827337069729
