first,second,third,likelihood_ratio
nathalie,kosciusko,morizet,425.9984523213459
petites,moyennes,entreprises,101.83602257157683
suppression,aide,médicale,356.7311163332788
combien,mohamed,merah,323.86213669502973
candidature,élection,présidentielle,547.9645557127158
mais,nicolas,sarkozy,3244.1502204817025
mais,monsieur,aphatie,592.7615041718684
mais,monsieur,déjà,135.0933398598608
mais,bien,mais,68.59225044369259
outre,étranger,chers,113.55939898300478
sentent,beaucoup,plus,231.63209394522
charge,communauté,nationale,292.22219065844797
dire,nicolas,sarkozy,3243.554044030824
dire,veut,dire,510.1850362616249
dire,vérité,français,100.69528762504088
france,chers,compatriotes,507.65918339401657
france,mesdames,messieurs,189.762305089444
france,prêter,trésor,153.48922601864382
france,rurale,france,151.57887619082302
dépôt,banques,spéculatives,157.22539190180763
accès,logement,social,355.0469301742497
accès,logement,emploi,171.76253957252936
salariale,cotisations,sociales,173.23807952756675
déloyale,pays,coûts,106.91176598085192
beaucoup,plus,proches,255.17505057658
abattue,france,halal,125.02632874805818
donner,pouvoir,achat,868.3549714174915
effectifs,police,gendarmerie,151.45911946241387
président,république,avez,799.5886333820499
vive,république,vive,374.8417302471297
vive,france,mesdames,192.81207838603513
vive,france,chers,134.40354876339413
marchés,financiers,bien,846.9833695279453
problème,nicolas,sarkozy,3253.5256957264855
tous,enfants,france,104.4891080849628
toute,série,propositions,534.4676474844314
toute,série,mesures,524.4122552119236
proposé,république,référendaire,144.41918847857767
chèque,premier,logement,120.92279789168744
2000,lionel,jospin,294.2867335992978
chômeurs,millions,pauvres,140.32106212909477
référendum,constitution,européenne,172.04021040357077
grande,partie,entre,288.48260881126123
bleu,marine,candidat,256.862922361865
augmenter,pouvoir,achat,874.9739820844017
élever,leurs,enfants,340.34382820128064
madame,nathalie,kosciusko,215.88679849619967
tour,élection,présidentielle,568.415676206863
sarkozy,françois,hollande,703.8508254443395
sarkozy,faut,bien,134.94738502865016
candidate,élection,présidentielle,562.7813191029009
enfants,france,doivent,66.65919846832861
hommage,mohammed,merah,258.8224571808418
utilisée,grand,patronat,251.87176899121863
enfin,veux,dire,454.65735444232075
banque,france,prêter,173.07790736077504
banque,centrale,européenne,143.8737762585876
racisme,anti,français,148.48253860518705
attendent,logement,social,309.1834190223453
bien,chers,compatriotes,509.74258802085967
bien,vais,dire,165.11680509763704
maires,petites,communes,152.45869220770138
après,élection,présidentielle,607.4313125491143
après,affaire,merah,100.10123066038886
aphatie,monsieur,aphatie,529.4911068688077
autres,grands,candidats,110.559195102889
moment,donné,faut,492.9354777289269
gouvernement,nicolas,sarkozy,3262.814287865396
compte,tenu,situation,319.8535455807331
marine,candidat,socialiste,119.23568672310161
novembre,2011,contre,171.33668028371773
argent,public,faut,191.15240062145477
élections,cantonales,mars,225.1821327619977
chers,compatriotes,métropole,571.0073758453818
chers,compatriotes,chers,560.6649665326759
ensemble,classe,politique,320.55986370133826
aide,médicale,etat,392.5864799404909
gagner,nous,allons,163.22781259110465
syndicat,défense,intérêts,140.09451005083778
mettre,droits,douane,448.7886258326041
mettre,place,priorité,388.1874693303918
mettre,place,politique,375.9963910600481
mettre,france,abri,83.89353394803972
équivalent,ville,rennes,229.5241948769584
retour,monnaies,nationales,348.0365407606006
nicolas,sarkozy,ministre,3268.4758797133422
nicolas,sarkozy,françois,3268.0559385244546
nicolas,sarkozy,vision,3258.902563400729
nicolas,sarkozy,avait,3258.125574611407
nicolas,sarkozy,était,3255.0957810051996
nicolas,sarkozy,pouvoir,3251.6868743659566
nicolas,sarkozy,jamais,3251.59464318548
nicolas,sarkozy,faut,3244.537991341229
concurrence,déloyale,pays,609.6659984502764
concurrence,internationale,déloyale,202.1877715228012
compatriotes,zones,rurales,225.88698222609403
compatriotes,métropole,outre,184.1913104663743
peser,baisse,salaires,307.12216490438857
peser,baisser,salaires,192.9165482774902
système,protection,sociale,692.3387768570411
centaines,milliers,clandestins,219.35867172318783
ailleurs,certain,nombre,1564.9806961056522
doivent,faire,objet,131.10865630667857
souverain,légitime,peuple,202.0420324784226
déjà,certain,nombre,1601.888756558689
nous,avons,versé,604.6954315647386
nous,avons,devoir,576.874814325366
nous,avons,plus,562.9058535165401
nous,avons,peur,551.471561955701
nous,allons,gagner,174.86368619779407
sert,plus,rien,92.3181338927115
grandes,compagnies,pétrolières,209.530375930174
étranger,chers,internautes,161.15486609423672
signe,religieux,ostentatoire,181.45021140065427
entre,maintient,territoire,104.48482344959481
échec,nicolas,sarkozy,3278.866559420062
coût,sortie,euro,171.34455824481734
viande,abattue,france,121.65472438147549
unes,après,autres,164.7183713311362
étais,contre,intervention,135.80944276957297
etat,collectivités,territoriales,216.7256385703446
jean,françois,copé,259.74015933392127
écarter,candidatures,fantaisistes,184.5350565512211
priorité,accès,logement,264.91381370562283
priorité,accès,emploi,200.01073201973242
groupes,politico,religieux,126.56923829280592
droits,douane,ciblés,490.56720873250015
mauvaise,dépense,publique,241.42823901680558
république,vive,france,229.10383972737532
banques,marchés,financiers,871.4664677961949
banques,dépôt,banques,169.0966064063623
français,toute,série,494.21245548771583
français,attendent,logement,155.2226234083862
