first,second,likelihood_ratio
autres,pays,15.359617441518596
groupe,droites,55.62700441746187
plus,plus,33.43569484290617
conseil,sécurité,57.57598979756175
suffrages,exprimés,44.22254406843378
forces,armées,56.07396753695833
droites,européennes,74.40425186585078
europe,ouest,25.892687970556835
pendant,temps,29.219404922774814
autant,plus,18.11681812656753
parti,socialiste,23.085384641137715
parti,communiste,21.44152832181991
nous,sommes,34.33686810782263
nous,avons,33.56827658867369
certain,nombre,48.237225860219525
communauté,européenne,63.424271055250266
bande,quatre,44.22254406843378
assemblée,nationale,30.733198896740333
toutes,régions,28.93554293163756
dont,avez,20.950233234965427
dont,sommes,18.937186299720615
moyen,orient,69.22597456171634
guerre,golfe,56.44446423597338
élections,partielles,44.98807734927572
front,national,333.6790828364797
échéances,électorales,46.453979581573485
nations,unies,41.39194727271974
croatie,slovénie,46.21266239308848
président,république,28.51289886519754
vous,avez,29.94362247730946
monsieur,président,38.06170313584583
hommes,femmes,34.998956487780525
pays,europe,13.966603862813713
premier,tour,49.20989836148721
maire,communiste,28.098942721184866
quelques,jours,34.66480623976922
