first,second,third,likelihood_ratio
commence,rendre,compte,461.71812079040285
abandons,trahisons,lâchetés,206.61523662126353
connu,parti,socialiste,2060.485753189055
états,unis,amérique,608.0939379624692
souverain,légitime,peuple,203.77069132481844
peine,mort,soit,666.5730868093524
communauté,communauté,nationale,431.9476317652846
communauté,nationale,nous,414.2016429188177
assemblée,nationale,sénat,1507.2798496772486
assemblée,nationale,malgré,1459.9010898138497
aboutir,supprimant,postes,147.5276331474641
celle,front,national,19026.284297627382
celle,etats,unis,2759.680561122706
celle,peuple,français,2437.44255767293
qatar,arabie,saoudite,506.54221940679827
déclaration,droits,homme,236.66246354149035
rapprocher,salaires,manuels,284.90006261133703
voilà,mesdames,messieurs,3283.9796447611934
voilà,vous,voyez,851.0219010288843
législatives,juin,prochains,130.39956198476884
savoir,lire,écrire,369.70701364548
mesures,immédiates,concrètes,182.6647918678995
mesures,prises,sarkozy,111.40806868838276
mesures,prendre,paris,109.95652803397132
promesse,mettre,œuvre,509.72789031612024
passée,4ème,rang,171.14233031771573
réarmer,face,mondialisation,266.21513007938
initiative,populaire,proportionnelle,394.4783536262148
oppression,pauvres,faibles,142.9590004059561
ferrée,pieds,taille,280.50042382861653
importation,droits,douane,1091.1001604290173
chevalerie,française,azincourt,265.2431297883133
semaines,plus,tard,759.7117157261143
semaines,quelques,mois,574.897397190116
injuste,effort,hommes,106.21778293149174
actuelle,agriculteurs,termine,142.17565461064257
immigrés,plus,plus,552.3538030365926
immigrés,tiers,monde,523.5704848330081
immigrés,situation,irrégulière,183.59983340556383
pitié,royaume,france,167.15358066442838
points,dessus,moyenne,147.6216296181911
avons,front,national,19024.724915526265
avons,certain,nombre,7349.567580742373
avons,millions,chômeurs,807.7555684191218
avons,places,prison,564.4765430893599
avons,plus,moyens,290.61479955468315
avons,supprimé,frontières,173.96849244719078
avons,perdu,millions,161.5080271680594
avons,payé,milliards,108.68666093820354
subissent,mêmes,charges,185.15935757858364
fabius,strauss,kahn,1337.2180022312498
mère,arts,armes,200.91431003903602
économique,social,culturel,443.4026280878694
économique,social,france,405.65131739526635
économique,sociale,politique,379.85031213003333
économique,sociale,pays,377.5276439654015
économique,patriotisme,social,354.06888153028945
économique,équilibre,social,252.73299484660032
économique,retour,croissance,95.31919809393672
croire,temps,désinformation,136.9862328768138
croire,cinq,plus,66.04374613096365
française,front,national,19021.406861989424
française,union,européenne,4329.175379928805
française,article,disposant,127.09739152242398
vingt,dernières,années,839.6568320271721
échappera,techniques,pourrait,157.52749365596318
cage,ferrée,pieds,299.8370440896419
cinq,dernières,années,847.6507269764136
cinq,millions,chômeurs,801.1442339817551
cinq,plus,tard,765.9277646645003
