first,second,third,likelihood_ratio
salaires,travailleurs,français,104.85922274248165
émeutes,novembre,2005,139.3110960235488
logement,aides,sociales,183.58516836664904
alors,mesdames,messieurs,1338.473678444488
institution,droits,douane,235.35917863714212
partis,gouverné,france,123.35095433491244
euros,mois,millions,173.88840252061584
libre,choix,temps,97.4298137078206
appel,offre,alimentaire,197.98457969018298
être,ultra,libéral,329.40932144506814
pouvoirs,publics,successifs,318.2782637711956
amis,chers,camarades,463.968167308225
amis,militants,sympathisants,151.52282960953048
président,république,chef,373.75761787206267
vive,front,national,1195.0666763951763
vive,france,vive,313.4446706733562
vive,nation,vive,246.73081162909065
éducation,leurs,enfants,208.62667047475776
éducation,civique,morale,125.82190171214751
deuxième,tour,élection,259.07781104481023
deuxième,guerre,mondiale,136.91856484054964
voyez,mesdames,messieurs,1338.0648710279906
dette,publique,réelle,131.82568684352896
sarkozy,bayrou,royal,177.01639125314782
sarkozy,royal,bayrou,133.37742323891018
dumping,monétaire,social,139.95625144241092
rmistes,millions,titulaires,123.95320932519249
décidons,plus,mêmes,141.35274802484997
plus,important,celui,152.57235974215502
madame,royal,monsieur,335.1658791480496
élections,législatives,juin,313.6207148178004
tour,élection,présidentielle,400.9292172410787
national,vive,france,142.49609803779433
national,union,patriotique,118.6021321751143
hausse,pouvoir,achat,321.2185132180683
géographie,histoire,religion,131.28055448342775
juridique,social,mère,112.46956880459322
dégradation,pouvoir,achat,340.5175491288637
choix,temps,travail,110.82893618081773
ultra,libéralisme,mondialisé,159.73209581826706
hommes,état,doivent,123.14853106839068
oeuvre,libre,circulation,211.8693723409989
rupture,contrat,préférence,148.33127389908856
vents,concurrence,mondiale,150.37857039737037
messieurs,sarkozy,bayrou,151.66364830031566
mettre,oeuvre,grand,233.56617614914563
rurale,équité,sociale,167.48655403431104
respect,ordre,naturel,175.0686566929691
électeurs,front,national,1195.8824826013329
corruption,politico,financière,145.07866713802193
matin,paysans,arrive,313.8788345518115
dotation,rurale,équité,203.1637134653413
ainsi,pouvoir,achat,309.5635900737404
doivent,garder,souvenir,145.08808250037157
nous,décidons,plus,134.98492753983868
réservées,familles,françaises,157.16788703961095
royal,monsieur,sarkozy,305.170344552414
préférence,nationale,emploi,288.94997512474663
mois,plus,tard,206.4379220686307
voilà,mesdames,messieurs,1313.0782721376145
législatives,juin,prochains,132.19655448894562
mesures,prendre,paris,109.16991637692362
chers,camarades,chers,486.44192942467424
chers,amis,chers,331.533666224801
impôt,revenu,impôt,143.8876118357756
compensation,dette,agricole,132.44380439179625
croissance,plus,faible,93.730349518857
ministre,éducation,nationale,186.62677925246788
millions,travailleurs,pauvres,196.34718792472222
millions,vivent,euros,185.44601268455273
millions,crimes,délits,161.36948242757998
millions,français,vivent,84.16696461899298
demain,rase,gratis,147.24992295373386
demain,voulu,faire,97.00921312415379
peuples,européens,plus,120.54782863917477
mère,arts,armes,147.73949881407617
économique,social,culturel,164.1335762234247
économique,retour,croissance,105.16338521260579
création,revenu,parental,144.30166758815773
voulu,faire,hier,103.45878021537354
défense,sociale,nouvelle,96.47716146142136
lire,écrire,compter,218.27904203270438
baisse,salaires,travailleurs,146.5552592410565
militants,front,national,1192.8282488310538
entré,millions,immigrés,115.9312997023753
lutter,contre,immigration,174.80886673334288
faut,bien,dire,72.13224338691218
contre,immigration,clandestine,127.12738001729262
cinq,dernières,années,189.0054266090589
pouvoir,achat,consommation,322.22434512921944
front,national,vive,1195.0666763951763
front,national,assemblée,1190.1065518845417
vous,voyez,mesdames,146.9938858264258
équité,sociale,dres,150.91149879460716
jours,premier,tour,110.00220327355754
mesdames,messieurs,chers,1315.8013790979053
mesdames,messieurs,faut,1294.6731366752629
année,après,année,84.65522843368802
députés,front,national,1188.6699621743542
statut,juridique,social,139.95625144241092
vivent,euros,mois,230.26970804220142
