first,second,likelihood_ratio
classe,politique,61.65244631084151
strauss,kahn,47.82531914218683
strictement,rien,35.608033101088964
élection,présidentielle,36.597774251766054
tant,mieux,31.87314412303093
plus,facile,37.351093202656855
millions,demi,41.095202472094265
front,national,147.80723386021035
quelque,sorte,73.09112064182403
quelque,chose,31.11374066066904
prendre,décisions,39.54776901885552
langue,bois,53.82621350353106
demi,voix,34.93436153950871
beaucoup,plus,12.325030261782718
responsables,politiques,37.0872160222441
charles,gaulle,43.32663798523636
jean,marie,61.46438352306882
aide,médicale,47.82531914218683
première,libertés,36.3680641128802
première,égalités,36.3680641128802
vous,savez,33.76843117809085
république,française,35.01075151791889
nicholas,sarkozy,41.095202472094265
