first,second,likelihood_ratio
quelques,jours,27.663006788955638
crois,crois,9.363155931220039
jusqu,présent,40.66985935565204
toutes,séances,39.037585125081876
certain,nombre,145.23612081949796
sais,bien,33.792734505916364
strictement,rien,61.219336685543226
ailleurs,façon,16.439508724534697
dois,dire,80.078650330322
vais,dire,19.124291843407306
vieille,garde,51.25487116617974
était,première,16.859894513719436
quelque,sorte,87.28007425283022
quelque,chose,30.054639216179574
somme,toute,39.037585125081876
bouches,rhône,80.31476173438762
etats,unis,51.25487116617974
peuple,serbe,28.902413950816157
demi,voix,24.81103468009685
mois,demi,25.773547380353982
premier,ministre,36.172946545418135
parlement,européen,65.57743726297065
dernières,élections,35.03466764699277
faut,bien,10.233770468949693
députés,européens,30.245393738907353
président,conseil,38.54541818907627
président,république,29.36159685309743
président,front,10.309042525197999
jacques,chirac,61.03364052626038
millions,demi,36.294373720774104
millions,habitants,36.24279846003411
dont,suis,17.43437864635724
bien,bien,10.549583254775014
bien,dire,6.030411101097085
bien,suis,5.032294611081685
jean,marie,80.31476173438762
pieds,noirs,66.03766476163975
suis,fier,28.4356274074647
suis,président,9.589215569126218
mais,écoutez,14.9833989155212
préfère,battu,61.03364052626038
vous,savez,44.76783653640039
bureau,politique,56.99167786527525
élection,européenne,28.35309996346176
noirs,harkis,40.026780490211024
conseil,général,27.79305729018969
hommes,politiques,64.01412335059099
conseillers,régionaux,61.03364052626038
campagne,électorale,56.785030532650374
élections,européennes,48.47323926266107
élections,présidentielles,25.495198772765328
tête,liste,61.046852589140244
front,national,461.64465527939814
partir,moment,30.18768586645794
contre,front,11.439719229750946
