first,second,third,likelihood_ratio
monde,besoin,france,169.02000669909654
pouvoir,socialo,communistes,210.33753323559594
front,national,avons,1512.4915672544525
front,national,autres,1503.1984974382076
front,national,front,1497.3104929782648
représentés,assemblée,nationale,136.84303288703427
pendant,campagne,électorale,231.39133047926657
voix,front,national,1509.2491674815851
faut,bien,dire,79.47117537228843
électeurs,front,national,1517.4229012565947
liste,front,national,1518.5197892815943
liste,arrivée,tête,146.2267860131387
élus,front,national,1516.4264454645106
national,front,national,1500.4536251783343
route,front,national,1524.5849860328663
campagne,front,national,1503.3981574278255
campagne,électorale,européenne,229.36457801864344
barrer,route,front,137.73193696697749
