first,second,third,likelihood_ratio
succès,candidat,peuple,135.33112520377688
salaires,manuels,salaires,192.67803890630313
salaires,travailleurs,manuels,152.67957715560846
abord,faire,diagnostic,99.3815591008071
moyenne,pays,européens,201.42960287891344
dizaines,millions,morts,115.07830351207204
suppression,impôt,revenu,364.81163805722315
bien,vous,savez,281.7393638315401
bien,verra,bien,138.61673765673248
quelque,chose,extraordinaire,360.4143739763201
monde,sait,bien,128.00047206141153
élire,président,république,934.3633629430851
crois,aura,beaucoup,91.00033711662542
crois,hein,bien,64.13490498880907
dire,quelque,chose,343.68537716363846
nous,avons,plus,173.8248853296539
franc,serait,attaqué,130.60063825374354
avons,places,prison,161.92969804880772
compte,rendu,mandat,106.56731630419236
celle,etats,unis,514.3581341039514
majorité,socialo,communiste,141.58808080686148
chef,armées,chef,262.9691191914095
président,front,national,1116.6674482514336
président,république,chef,875.5505820813501
président,république,pratiquement,854.9315834996838
président,république,était,841.8568902000573
général,otan,dire,109.2437195441034
voix,front,national,1135.8315450795478
écarter,candidats,fantaisistes,137.44720677924678
avait,deuxième,tour,537.8660279678498
armées,chef,justice,198.57265934739812
ministre,président,république,865.6188967219149
ministre,commissaire,européen,163.80152064265673
français,chers,compatriotes,194.82851700333973
fonctions,régaliennes,etat,164.3112721598094
points,dessus,moyenne,137.54170825987939
manuels,salaires,intellectuels,130.89383263059972
successions,ligne,directe,144.68390160924497
candidats,présidence,république,283.425120509155
secrétaire,général,otan,155.08333443348252
rapprocher,salaires,manuels,217.4891836512263
ancien,ministre,commissaire,162.67170406100215
jospin,homme,gauche,100.94018074817622
jospin,avait,deuxième,68.28858810465441
pages,faits,divers,204.70451093784334
mort,france,pendant,77.63055196227417
pays,tiers,monde,178.72398992616564
suis,candidat,présidence,228.50092739268234
veut,rien,dire,78.2842651763855
présidence,république,jamais,264.18652356904295
certain,nombre,gens,720.4099584317912
certain,nombre,autres,707.1548968004646
euro,franc,serait,113.73230128401997
faut,bien,dire,92.31810771334374
faut,abord,faire,86.64421159433186
celui,front,national,1123.4744761128827
cinq,prix,nobel,180.95973503416704
peser,baisse,salaires,167.107417889393
françaises,français,chers,106.7777067664266
faire,quelque,chose,334.99366332378816
vous,savez,bien,306.9859911816448
voudrais,simplement,faire,99.133782662925
impôt,revenu,travail,355.3195453037008
impôt,revenu,impôt,311.7117346951532
impôt,successions,ligne,163.35967856756258
veulent,travailler,veulent,229.35686598530725
premier,ministre,président,295.2519807958812
programme,front,national,1129.5252533744908
candidat,présidence,république,365.4429959342781
candidat,peuple,français,267.65153586269423
candidat,démocrate,républicain,132.4239239656145
faits,divers,journaux,160.88624563062095
revenu,impôt,revenu,308.3817946582634
