first,second,likelihood_ratio
soumis,marchés,28.890587927765786
peuple,français,351.98117107229643
peuple,libyen,49.919258596471316
peuple,peuple,24.102440899825357
peuple,toujours,7.724209243505691
peuple,soit,6.770809481978764
peuple,france,1.1434059400423755
légitime,défense,37.81499729805583
maîtrise,frontières,25.035466794964144
maîtrise,monnaie,24.0936608308952
chômage,masse,72.56830619677359
attendez,attendez,55.196640590281866
dernières,années,84.12425919540631
cantonales,mars,53.31184131648271
lutte,contre,84.18607940328545
peuples,européens,22.11451577628309
sais,rien,16.202399278068075
sais,plus,6.483981237843592
moindre,choses,29.53317322345022
présidente,république,30.503480978197835
présidente,front,27.67474531133265
présidente,retour,26.84746268731357
pure,perte,38.061357265991525
pure,simple,37.057196256052215
banques,dépôt,44.33469216108314
banques,marchés,30.350840815302323
banques,affaire,24.861360565417172
normes,règles,33.730076915772045
préférence,nationale,76.89661583855819
fonction,publique,93.68573626087462
était,ministre,34.46242904864151
était,trompé,26.721653848368245
était,milliards,9.81068857443952
était,bien,4.580122819818731
était,plus,0.824714487879612
fêtes,foraines,57.10955389447748
dette,publique,27.013200646595255
dette,était,12.254204736608475
partenaires,européens,70.01025434507798
femmes,gauche,21.43439508124088
régularisation,clandestins,47.265502199926964
hyper,classe,40.50509777446963
couleur,peau,59.340989407619574
redressement,économique,31.44843754044964
redressement,pays,14.697286626103837
sécuriser,nucléaire,57.798590542207414
baisse,salaires,94.51194090649325
baisse,allocations,51.007752843724624
vers,pouvoir,14.62693250106934
intelligence,économique,24.82592538249608
situation,légale,39.70997351630922
situation,économique,13.234340818968791
situation,pays,6.739466372658759
situation,plus,3.763667019302087
guerre,civile,63.31754369511009
guerre,libye,28.300630448930292
respectent,aucune,33.13243627310827
sera,plus,7.191997083049436
signale,ailleurs,17.31927204101579
tenir,compte,63.04724145277022
matières,premières,73.25730393692487
zone,euro,158.20562680211737
activité,économique,25.58182990510879
présidentielle,nous,11.26816597597144
présidentielle,pense,10.301571241616799
doivent,savoir,31.051027494102566
doivent,pouvoir,14.433443719659962
doivent,faire,11.174016156077684
écoutez,monsieur,11.991835408086995
écoutez,crois,8.831214495446051
jeunesse,france,17.486620600699975
conseil,général,116.88951646985578
conseil,régional,60.83452343266434
vote,étrangers,108.15902189538288
aides,sociales,173.7758795699081
action,politique,15.978686261817703
maurice,allais,63.83967056457004
hommes,femmes,66.10596790646514
exprimer,pense,18.463592447283165
protections,frontières,49.56652395663474
protections,intelligentes,45.29611561557222
bonne,gestion,39.923340708591795
bonne,raison,32.028061268943105
bonne,dépense,30.09443552814802
commis,erreur,40.166951956016405
cour,comptes,95.67503220436414
campagne,présidentielle,90.5498560385934
campagne,mais,11.003082539693914
parce,croyez,20.031571558503323
parce,pense,15.13492082404974
parce,crois,8.992926402452431
petite,caste,30.702444464388066
débat,débat,32.169156269299464
matière,immigration,38.42802090324378
matière,internationale,30.64250879396608
matière,sociale,17.159186925031968
préparé,sortie,62.36768360521819
déloyale,pays,21.08394179561288
small,business,63.83967056457004
retour,réel,62.958247522312675
retour,monnaie,27.860606279047953
partis,politiques,32.88733523027029
place,conditions,23.00784388640871
place,protectionnisme,21.24172902108309
amour,patrie,52.46058808258031
amour,france,13.615770773842065
homme,femme,30.322869757988776
oppression,désordre,45.96171160154242
candidate,élection,39.7240503503219
candidate,présidentielle,24.506378137238617
taux,intérêt,61.80766365382876
inscrire,constitution,48.3971884788852
protection,sociale,186.29275435889224
imaginez,bien,16.132546110608224
système,protection,108.79075582820849
système,umps,48.06665260186083
système,monétaire,31.255969134592526
système,bancaire,30.94804444138312
système,bout,21.15567964365254
élections,cantonales,114.09622064802653
élections,régionales,38.35199840197324
cure,austérité,60.417015341432815
ailleurs,plan,14.028355384707055
ailleurs,était,10.302389164162655
ailleurs,beaucoup,8.644183754735451
ailleurs,mais,6.459637938063928
ailleurs,pays,4.73789914729883
ailleurs,france,3.6767374544870117
ailleurs,monsieur,3.3685559317198983
candidats,faussaires,45.49342100093456
candidats,interchangeables,40.995694570442424
candidats,seront,26.6794069799192
