measure,first,second,third
10.790900556229264,politique,quelque,chose
9.345000813778057,politique,certain,nombre
7.800250917486483,politique,front,national
15.718324347333066,candidate,élection,présidentielle
16.348311284762797,français,attendent,logement
14.132177853898025,français,rendent,compte
17.732608573339313,secrétaire,parti,socialiste
10.879608709099767,celui,front,national
16.395411778994376,millions,demi,voix
14.550168374150562,millions,chômeurs,millions
17.98278082823606,sécurité,première,libertés
17.128946556123918,retour,monnaie,nationale
16.866916229932247,quatre,millions,demi
11.528534268552882,élus,front,national
20.96008209353645,peser,baisse,salaires
20.557535538440796,peser,baisser,salaires
19.280255879398883,coût,sortie,euro
21.787917925043846,concurrence,internationale,déloyale
16.118396851875772,concurrence,déloyale,pays
7.715693807411554,crois,front,national
14.25889272869577,après,élection,présidentielle
10.464872583585343,france,nicolas,sarkozy
6.9677032492541215,france,pays,plus
17.205410398425,élever,leurs,enfants
11.873606989375343,pense,faut,arrêter
13.192909614855882,plus,rien,offrir
11.441588727712606,plus,grande,partie
11.196761940351486,plus,plus,importants
10.258162485015632,plus,jeune,plus
10.038600054027665,plus,facile,dire
7.210458499161135,plus,front,national
9.923908480982963,dont,suis,président
24.67584101601155,dominique,strauss,kahn
