word,raw_frequency
passant,1
monoparentales,1
vendanges,1
générales,3
acquise,2
distribuées,1
demandes,1
demander,31
connaitrons,2
jolie,3
loges,2
tortionnaires,1
paumé,1
demandez,9
pères,1
promènent,1
sale,1
récuse,5
remarquer,6
remarques,1
boîte,2
enfuient,2
laurent,1
courante,2
variable,4
origines,3
contagion,2
fragilise,1
malsaines,1
évaluation,1
réaliét,1
dénoncer,11
terrestre,1
dernier,31
conjonction,2
tiers,23
briller,1
voies,2
acheteurs,1
civil,6
alter,2
parfait,2
devenus,3
planification,2
fraudes,1
incontrôlée,2
holding,1
automobile,5
contrôlent,1
négro,1
service,30
devenue,12
peillon,1
drastique,3
doublement,1
duré,1
dessus,26
substituez,1
tropisme,1
promu,1
rochelle,1
savez,203
serveuse,1
puisqu,93
toulouse,3
globalisait,1
exprès,1
bond,1
officiels,4
touchées,1
apparenté,1
bons,6
élevé,5
autocratiques,2
mohammed,1
arrêtant,3
relocalisation,3
autorisation,5
exécutée,1
période,20
minute,3
recommencer,3
dallas,1
enfumage,1
craquements,1
connaisse,1
témoigne,1
punir,3
ministères,2
empêché,14
représentants,13
woman,1
fondamentalistes,22
patriotisme,30
test,1
composition,2
compétent,1
morbihan,3
moque,11
folie,3
sondage,22
présentation,3
reviendrai,1
performant,1
citer,5
honneur,14
fracturé,2
agriculture,10
fatuité,2
traduit,2
prêter,5
prêtes,2
déployer,1
nationalement,1
professionnellement,1
chair,1
privilégié,1
émets,1
adapter,5
attribuées,1
méthode,8
causera,1
agissements,1
tombez,1
foulards,1
scandaleuses,4
émergeront,1
éventuellement,19
laboureurs,1
établi,4
borel,1
coupure,1
réunionnais,1
étendre,1
actuelle,8
oublié,9
bloqués,1
mettra,2
gilbert,1
appartenance,2
mettre,134
constituant,1
susceptible,4
préférons,1
casier,1
émettre,1
subviennent,1
recueillir,3
impossible,6
blanc,11
endetter,1
nier,5
réconcilier,1
stéphane,3
considérations,3
dignes,1
maladroit,1
dégradation,1
longues,3
longuet,5
agriculteurs,18
marques,2
marquer,3
affaires,37
douaniers,3
redistribuerais,1
désirés,2
affinité,1
déficitaire,4
bourreau,2
façade,1
cheveux,1
résistant,3
dupes,3
désarmement,1
réaliser,5
consolidation,1
haines,1
équivoque,1
superficiels,1
nourrir,3
lamy,1
déterminer,6
commençons,3
ministérielle,1
poursuivaient,1
convivial,1
repris,4
aboutira,1
convaincue,2
concentré,1
transport,2
convaincus,1
salarié,6
fais,76
chômage,82
existera,2
gendarmerie,4
gants,3
hier,42
lequel,51
accident,3
endroits,5
simples,2
parlementaire,15
thèmes,3
normes,10
goldman,1
indue,1
poker,2
éteint,1
nuance,1
copains,6
soustraites,1
incitation,3
décidés,1
appliquerons,1
priver,3
marginale,1
appliqueront,1
décidée,1
banales,1
inadmissible,7
reviennent,4
femme,19
soignable,1
fumer,1
révèle,3
récent,4
mégrétiste,2
membres,4
diversion,5
appuyer,3
proviennent,6
connaissons,5
invente,2
doubles,1
doubler,2
spécialistes,4
cercueil,2
traiterai,1
tonnerre,1
reste,62
politicien,2
wagon,2
liquidés,1
manifestent,1
crucifié,1
acceptons,1
front,395
lycée,2
ravie,3
manif,1
déchirement,1
saupoudrée,1
gares,1
normalité,1
mitrailleuses,1
amies,3
reconstruire,2
raciale,1
directives,3
casquer,1
casques,1
humanitaires,2
retirée,3
âgées,2
récupération,2
actifs,3
plaques,1
carrés,1
communisme,5
harkis,12
asseoir,4
qualité,26
rentrait,1
nuls,1
décollent,1
trouverai,2
obsèdent,1
gamelles,1
permette,11
précarité,5
inventé,1
officielles,1
démotivants,1
reprochons,1
attaquaient,1
lumière,6
amenuiser,1
hostile,19
empoisonné,3
énoncerai,1
traduction,1
figaro,2
troyen,1
semblables,1
promet,1
renaissance,2
viens,17
vient,48
seigneur,3
sauvant,1
saddam,6
pasteur,1
dépendance,1
casque,1
sauvé,3
philippe,4
intimement,1
chasse,9
wahhabisme,1
joueur,1
ainsi,50
menée,18
intègre,3
ingérence,2
intéressantes,2
misérables,1
existaient,2
gongs,1
bloquer,5
goulots,3
subventionner,1
endroit,10
menés,1
perfusion,1
devenons,1
menacées,1
allais,7
allait,36
subissent,10
fantasmer,1
bruxelles,19
fable,1
auriez,4
cataclysmique,1
extrascolaires,1
moralisation,6
piégé,2
défaut,2
tranchée,1
excuse,1
balayer,1
vendre,18
dépend,17
remplis,1
pontes,1
prompts,1
retomber,1
grec,5
comprenant,1
musulmanes,1
semblable,1
tréport,1
apathie,6
fraternité,6
allongement,4
liste,33
établissement,7
footballeurs,1
cantonne,1
onze,2
cumulés,1
visité,1
bachoter,1
dotées,1
alain,3
cumule,1
lutter,25
abonnement,1
américaine,12
capitaine,4
sirius,1
mécontents,2
carcéraux,1
lepen2007,1
rejoignent,4
qatar,8
partiale,1
inscrits,6
colloques,1
aspirent,1
clandestinité,1
éléphants,2
cassent,1
diluée,1
appellerait,1
appellerais,1
inscrite,2
gestuelle,1
dona,1
adhèrent,1
dominée,2
tentatives,1
travaillais,3
conçues,1
travaillait,1
activement,2
correspondent,4
quitter,2
balayera,1
cruche,2
inaction,1
rare,4
imiter,1
avantage,10
visite,4
obtenus,3
intelligent,16
gratuitement,5
solana,3
marketing,1
habillé,1
aille,6
enfermés,2
améliorera,1
disparaitrons,1
diaboliser,2
imposeront,1
charte,5
protège,5
venir,65
expliquera,2
indignation,10
organisée,11
victoires,2
annihiler,1
réussite,1
organisés,1
maritimes,2
traversent,1
inverse,26
irrégularités,3
sourire,3
salariales,3
conserveront,1
chaud,1
intervention,21
ménard,1
sonnette,3
violences,11
ruys,1
études,11
espoir,7
suivre,7
peuplés,2
bompard,14
liées,6
gérez,1
débrief,1
gérer,6
crise,41
heurtent,1
faisaient,3
jeudi,2
derniers,8
virtuelles,1
avoué,1
confédérale,1
fuite,2
protégions,1
pascale,1
arriverait,4
acceptable,2
serve,2
essentiel,23
servi,10
acheté,3
tournait,1
régner,3
dirigeait,1
allonger,2
pardonnez,1
facto,1
solidarités,3
émeutiers,2
géré,4
mien,10
miel,1
paradoxalement,1
porte,48
détermination,2
banquiers,1
appuis,2
atrocités,1
zones,5
réserves,3
fermées,1
conformiste,1
appuie,3
craignons,1
portugal,9
tonnes,2
berlusconi,8
fumeur,2
tuer,9
entrepris,1
violence,22
contraintes,7
avoue,7
conquises,1
figurais,1
réclamer,7
conduisaient,1
insérée,1
panel,1
grave,37
affirmation,8
complicité,12
appliquée,9
choisies,1
etant,4
remontants,1
tuez,1
inespérées,1
modifierais,1
auprès,16
match,3
cohésion,2
revendications,4
disposent,1
recettes,3
implosion,1
prendront,2
vaudrait,3
quartiers,7
poindre,1
géostratégiques,1
algérienne,2
adresserais,1
tennis,2
avare,1
profondément,16
heureusement,9
adjectif,1
relation,10
spécialiste,2
meilleure,5
rentrez,1
débrouiller,2
transféré,3
rentrer,17
débrouillez,1
pleines,1
cac40,5
postures,2
impasse,5
amitié,4
