measure,first,second,third
18.87307791825137,suppression,double,peine
18.25580929220092,suppression,service,militaire
21.284312038789484,jésus,marie,lors
17.37403880378631,novembre,2011,contre
24.678110460760387,successions,ligne,directe
22.76482209395372,charge,cotisations,salariales
18.965572221533165,charge,financière,fiscale
16.376298244333398,charge,toute,misère
15.34738320762677,charge,communauté,nationale
23.373255879231966,effectifs,police,gendarmerie
23.986839057892887,petite,paysanne,lorraine
17.036462434780677,hommes,doivent,garder
13.57135509683527,hommes,femmes,gauche
12.014721319172608,hommes,femmes,pays
11.917268235459293,hommes,politiques,gauche
10.453122778768108,hommes,politiques,français
18.880215867951847,acquérir,nationalité,française
16.276394339979383,connu,parti,socialiste
18.367274955049332,pression,baisse,salaires
17.622269814750823,préférence,nationale,embauche
14.786345740496454,préférence,nationale,emploi
13.980723785663297,préférence,nationale,seule
17.370144601205084,parents,grands,parents
13.945444004575513,parents,leurs,grands
21.895996594034607,espagne,portugal,grèce
21.247247994319867,passage,classe,supérieure
20.86591427563328,chinon,tête,armée
21.27443282364609,arts,armes,lois
14.422541847551294,différence,autres,partis
12.74398104690378,élus,front,national
12.105804984881864,sentent,beaucoup,plus
20.337736698552206,secrétaire,général,otan
17.809826540060453,secrétaire,parti,socialiste
17.2473504620951,secrétaire,général,mouvement
10.791854600632202,vote,front,national
19.25105648555672,subissent,mêmes,charges
25.89520858242733,orléans,écrase,anglais
15.684993859959295,enfants,petits,enfants
10.643134539631134,enfants,france,doivent
17.267222694081124,outre,étranger,chers
28.16863815962349,bonnet,rose,rose
16.33897656993323,fête,travail,travailleurs
17.77745079836814,haute,fonction,publique
16.422335527201867,supprime,frontières,leurs
10.241006267282536,monde,besoin,france
10.077226935947532,monde,sait,bien
11.28212269087194,autour,front,national
26.438844220859544,évêque,pierre,cauchon
19.700353534432228,accomplir,plus,prodigieux
17.048258645145165,taux,intérêt,extrêmement
15.083749262036978,redressement,économique,social
12.389138329543691,programme,front,national
29.01711206900669,emprisonnée,rouen,cage
28.585001056368903,générations,baby,boom
12.002214466473752,député,front,national
13.378158947817262,défendre,liberté,sécurité
13.283257438448825,défendre,leurs,intérêts
10.237860138781425,défendre,français,abord
7.830962483477812,défendre,france,français
21.01087134354771,cheval,part,accomplir
13.87224806775917,malgré,millions,voix
19.932683287845983,région,nord,calais
23.083280930579892,paris,espace,charenton
22.41448683905527,paris,blessée,troisième
18.058259710264792,paris,1957,premier
12.347406729451233,paris,plus,tard
12.828641827893328,obligatoire,peuple,français
29.891104184094594,immortelle,abandons,trahisons
20.37755601666559,institution,droits,douane
25.125328365788388,cage,puis,ferrée
13.89005670855374,rendent,bien,compte
19.877421997394748,pupille,nation,père
28.26307296148155,gloire,immortelle,abandons
26.858682706402206,couple,franco,allemand
15.773085337580014,nation,père,mort
11.50218879472255,nation,etat,nation
8.067481728714327,nation,peuple,français
14.25855421973354,municipaux,front,national
22.103201624703154,salariale,cotisations,sociales
19.759644714889568,concernant,bonne,gestion
16.35991769554166,lutter,contre,délocalisations
16.260382021990743,lutter,contre,corruption
13.336282136350004,lutter,contre,immigration
17.03187237336391,commencer,celui,ministres
22.0984617599357,abattue,france,halal
10.545854098947618,nombre,électeurs,front
8.351128576709446,nombre,autres,pays
19.16431836981078,observatoire,national,délinquance
19.414634120464292,république,suffrage,universel
18.391773162655483,république,reconnaît,aucune
18.199128084713085,république,reconnait,aucune
13.14300728024671,république,vive,france
10.133483269074723,république,président,république
9.432274279600026,république,française,front
20.59596141940652,dauphin,france,banni
28.44364520712336,féodaux,déchirent,belles
18.777687572608638,toute,modification,traités
17.389122284690995,toute,série,secteurs
17.161831063941698,toute,légitimité,démocratique
16.722546018416185,toute,classe,politico
16.672915250691585,toute,série,propositions
16.631692587965063,toute,série,domaines
16.45444853256894,toute,chose,égale
15.977308686286435,toute,série,mesures
14.967658516252719,toute,série,choses
14.64573042136535,toute,misère,monde
13.755192934821554,toute,série,gens
11.512313028320328,toute,classe,politique
9.216370694556208,toute,histoire,france
23.81915434221557,affaire,mantes,jolie
17.59588487297018,gouvernement,socialo,communiste
12.593022192539774,gouvernement,union,nationale
12.506682897556498,gouvernement,nicolas,sarkozy
9.463098868702712,gouvernement,peuple,peuple
21.017827869091274,seul,refuser,complice
18.345402527119788,seul,souverain,légitime
10.939365903756023,seul,homme,politique
9.159675912354135,seul,pays,monde
9.152354815901614,seul,front,national
14.582395425398424,frais,doivent,faire
18.93331618763279,permettez,nouvelle,remercier
17.526163723691088,permettez,citer,quelques
17.362401461397265,permettez,abord,remercier
13.316660497340816,permettez,dire,considère
14.196782575116444,responsabilité,devant,histoire
24.990639857645498,qatar,arabie,saoudite
22.196034108867117,groupes,politico,religieux
29.306141683373426,cachot,sordide,jugée
18.983995014886542,sommes,capables,fabriquer
13.087897699352027,sommes,campagne,électorale
28.935498303453038,assistances,irrésistiblement,catastrophe
22.448160688245856,remercie,présence,conférence
17.75873006407815,laisse,entrer,droits
13.476547065423606,ensemble,classe,politique
12.585195632450805,ensemble,territoire,national
8.726280110263652,ensemble,peuple,français
25.29308553054798,hommage,mohammed,merah
22.031164745024896,hommage,annuel,jeanne
26.958218379953127,couper,pompes,aspirantes
22.585001056368913,dumping,social,environnemental
19.311982561962488,dumping,monétaire,social
17.376766698029115,nombreux,recherche,emploi
20.230297925389927,référendum,initiative,populaire
20.00143890855224,référendum,nouvelle,calédonie
16.331610553730435,référendum,constitution,européenne
25.213032278981945,guerre,famine,peste
14.431672565457283,guerre,grand,chef
21.043420396377734,aller,secours,libérer
19.88987513812428,aller,emprunter,marchés
15.583988777740437,aller,jusqu,bout
14.737005300861696,aller,fond,choses
12.38759156493694,aller,plus,loin
14.35255656879642,ministre,éducation,nationale
14.154458185350698,ministre,jacques,chirac
13.799027013527127,ministre,intérieur,président
14.538091059077658,occasion,élection,présidentielle
28.628069778260787,michel,dubois,yann
28.858682706402206,déchirent,belles,dents
16.614385477042017,verra,bien,verra
12.707494881433494,verra,bien,moment
19.409543234128844,chers,compatriotes,métropole
16.594625919034637,chers,camarades,chers
15.29287570608491,chers,amis,chers
14.848986738650549,chers,amis,permettez
14.508427455330974,chers,amis,allons
14.486101462256478,chers,compatriotes,chers
13.150642438511642,chers,amis,moment
11.594547352349473,chers,amis,front
10.705905816028693,chers,compatriotes,france
20.55563262172053,aura,préparé,sortie
20.33555641244752,modification,traités,européens
20.343222315215826,conseils,régionaux,conseils
18.01723600375411,conseils,généraux,ainsi
16.93409010906023,ajouter,constitution,française
20.144986891558847,doivent,garder,souvenir
14.319361019564628,doivent,faire,objet
18.284312038789484,marie,lors,libération
16.123091426444418,marie,france,stirbois
10.453108887684564,marie,front,national
20.934371637998755,traité,lisbonne,interdit
19.43413380297357,supprimant,postes,travail
23.68947032292494,mère,arts,armes
21.292476412936708,temps,désinformation,diabolisation
16.190938386474635,temps,chômage,massif
11.940289017573654,temps,faire,bilan
9.430254592701981,temps,temps,suis
25.004022069566254,clique,umps,niveaux
16.756852902198045,pendant,quinze,jours
15.65458540634003,pendant,nombreuses,années
15.430034651583423,pendant,campagne,électorale
14.41758291053717,pendant,campagne,présidentielle
13.775085190769492,pendant,deuxième,guerre
13.53393783823947,pendant,trois,mois
13.477875800330601,pendant,années,années
12.26352431455388,pendant,toute,campagne
11.561157381911631,pendant,certain,temps
18.566361073600167,immigrés,situation,irrégulière
15.510141518844932,immigrés,tiers,monde
6.53741510920965,immigrés,plus,plus
22.428397433424422,oppression,pauvres,faibles
18.453824987005763,soyons,fiers,sommes
19.155702014831895,intégré,culture,nationale
17.179061863026504,déclaration,droits,homme
15.652117348779374,forfaiture,quatre,plus
19.7991399506093,consultation,obligatoire,peuple
14.431672565457283,grand,chef,guerre
12.037015004224006,grand,chef,politique
10.42230516010881,grand,parti,politique
20.365850334761127,suis,modeste,compare
16.539595207360236,suis,pupille,nation
15.504047628681146,suis,heureuse,voir
15.424358740051979,suis,près,convaincu
14.517853428206173,suis,seule,vouloir
14.35314415041195,suis,député,européen
13.842851413042712,suis,femme,libre
13.433234290488112,suis,candidat,présidence
13.408316658283788,suis,candidate,élection
12.809668550780902,suis,présidente,front
11.806782158335189,suis,homme,libre
11.684152410005861,suis,seul,candidat
11.363446401943829,suis,quelque,sorte
7.797163373752795,suis,politique,française
6.821559235052202,suis,beaucoup,plus
28.16863815962349,rose,rose,bonnet
21.980138998210045,création,revenu,parental
15.722895528742363,lors,élections,législatives
14.528363341255712,lors,campagne,présidentielle
14.41071175260143,lors,élection,présidentielle
16.805571369942655,présidentielle,élection,législative
11.74126085734106,présidentielle,nicolas,sarkozy
10.657977054696424,question,intérêt,france
27.613570208565676,1422,henri,meurt
24.705237638783252,aboutir,supprimant,postes
12.163225748897368,sais,rien,sais
28.820714856203185,normandie,écrasé,chevalerie
17.473733853384598,deuxième,guerre,mondiale
15.745609413501587,deuxième,tour,élection
