measure,first,second
12.550056635749533,gloire,immortelle
7.859299471005775,garantie,sécurité
7.019240383875465,nation,millénaire
6.253705637512489,nation,protège
4.658793476383732,nation,française
4.586280976599358,nation,cadre
3.7338381650132195,nation,patrie
3.329941223339574,nation,république
3.24614828633441,nation,nation
3.171243477320516,nation,libre
2.7587128336522504,nation,peuple
2.6847436154850506,nation,etat
0.9107159270972964,nation,politique
0.7637396507270786,nation,france
0.07789927839016642,nation,français
-0.25222264402890815,nation,plus
7.451043772510873,tour,élections
6.962917795739676,tour,élection
4.126955954105075,tour,france
7.408282674621365,concernant,bonne
7.7160665871884575,départ,retraite
5.408282674621363,départ,leurs
7.634826739228281,réaction,contre
6.389746723183938,commencer,celui
8.788216372944293,propre,maison
5.559890995854104,propre,pays
9.751690496919178,nombre,divorces
8.788216372944296,nombre,croissant
8.751690496919178,nombre,mariages
6.284084946836183,nombre,fonctionnaires
5.037444979253056,nombre,emplois
9.062391336383286,république,bananière
8.647353837104443,république,engagerai
8.062391336383289,république,irréprochable
8.062391336383286,république,tchèque
6.616135106493722,république,vive
5.460355322303194,république,avez
5.269833416253764,république,française
4.077498228773495,république,surtout
2.4379004714754906,république,dont
1.2636495446303897,république,bien
10.844799901310662,dauphin,charles
4.589299168162274,dauphin,france
13.614186973169248,féodaux,déchirent
8.376651065572254,toute,modification
7.715067283248185,toute,entière
7.175017204402604,toute,évidence
6.791688564851098,toute,équipe
6.611116319209275,toute,énergie
6.2391475418223195,toute,transparence
6.054722970684891,toute,conception
5.891224238402012,toute,misère
5.48134844423895,toute,occasion
5.376651065572254,toute,réforme
5.175017204402604,toute,idée
4.721299236959702,toute,classe
4.654185041101163,toute,action
4.0201047738153175,toute,histoire
4.012078633276397,toute,nouvelle
3.263950932822892,toute,société
2.853089109515242,toute,politique
2.4364843150894373,toute,liberté
1.1211503324238663,toute,france
8.788216372944293,gouvernement,balladur
7.373178873665449,gouvernement,actuel
5.8340200625574195,gouvernement,socialiste
4.7007535316939535,gouvernement,nicolas
4.188303530757164,gouvernement,sarkozy
3.424811642080771,gouvernement,gauche
2.332302094629238,gouvernement,français
2.205760727833713,gouvernement,peuple
7.2753088093519445,seul,objectif
7.266263669748936,seul,refuser
6.742701713691924,seul,horizon
6.727104858640907,seul,moyen
5.823320173900209,seul,candidat
5.6813011690277815,seul,mouvement
5.096338668306624,seul,rôle
4.967055651361658,seul,choix
4.711674818071298,seul,parti
2.873946246970176,seul,pouvoir
2.2975968765537296,seul,bien
2.1675735730753445,seul,pays
7.774410573419262,frais,doivent
7.664227655668839,rien,réglé
7.534944638723871,rien,change
7.079265154947686,rien,changé
6.221284159820112,rien,proposer
5.324377652784216,rien,changer
4.970740698169514,rien,compris
4.494302654226528,rien,voir
3.3677702482975995,rien,sera
3.16517905793496,rien,faire
3.006016172917043,rien,était
2.9791284836622367,rien,dire
2.2254358030905763,rien,contre
