measure,first,second
9.29183782945117,désindustrialisation,massive
16.75126944808847,coram,populo
4.245347651167187,route,front
10.682789710205702,pendules,heure
12.52887702675202,achète,vend
9.704448591335474,achète,paix
9.614373247033624,automatique,nationalité
10.393717443470386,grandes,surfaces
9.486826847861868,grandes,compagnies
9.393717443470383,grandes,orientations
8.97867994419154,grandes,lignes
8.238439217992473,grandes,écoles
8.071789348583023,grandes,options
8.001400020691625,grandes,formations
7.462430193554397,grandes,entreprises
7.306254602220045,grandes,sociétés
7.197320230666881,grandes,manifestations
7.0361654388523025,grandes,puissances
6.953144852084401,grandes,réformes
6.835721990349496,grandes,villes
6.828932824686859,grandes,institutions
6.741640746890692,grandes,questions
6.289380783655647,grandes,difficultés
5.978679944191541,grandes,économies
5.408824335860592,grandes,valeurs
5.223792442028074,grandes,affaires
4.8912171029412015,grandes,forces
9.189027023867398,marché,dupes
8.283663898005468,marché,mondial
7.908919104674661,marché,financier
7.816472855910067,marché,intérieur
7.431597327141473,marché,commun
6.548400348031244,marché,travail
5.423492277504414,marché,emploi
3.167716517621983,marché,national
0.5750183681212206,marché,plus
8.143939134338856,scolarisation,enfants
12.781643097131987,religieux,ostentatoire
12.781643097131987,religieux,ostentatoires
7.385352087231274,centrale,européenne
7.444638086375969,porte,drapeau
6.7110710686716235,porte,avions
5.639016131542817,porte,projet
5.4074051801769905,porte,exactement
5.368870578758004,porte,monnaie
4.340082155333377,porte,voix
2.6013635900634178,porte,aujourd
2.58958642228707,porte,bien
1.7129862921062298,porte,france
7.799984733121494,2013,delà
7.7150958355349815,2013,assurer
6.976482388487293,2013,année
8.876800330172328,milliard,demi
7.81266999275261,milliard,hommes
7.66852901708053,milliard,euros
12.227707492031458,désinformation,diabolisation
7.043910316007587,marche,vers
3.223792442028074,marche,bien
11.52887702675202,premiers,servis
9.82843730861093,premiers,bénéficiaires
6.780684177162563,premiers,jours
6.026376686222836,premiers,candidats
5.955229839258699,premiers,mois
5.724943621491329,politiciens,gauche
4.301440149297488,politiciens,français
9.291057361463032,attendez,attendez
7.019196263862286,attendez,excusez
5.218805289554444,attendez,vais
8.420352569973852,socialistes,communistes
10.98455651052821,visa,entrée
6.754089967150849,abord,remercier
5.035271719694901,abord,tiens
4.548975537246234,abord,militants
4.303428558141281,abord,voudrais
3.1591433778570703,abord,trouve
2.831257827673305,abord,première
2.815490511814989,abord,compatriotes
2.757098717023183,abord,problème
2.6619201232229805,abord,savoir
2.654303847450379,abord,pense
2.6478905633189207,abord,vais
2.1492279089919855,abord,celle
1.816470936617172,abord,faut
1.2706580385095485,abord,faire
1.2327699618805,abord,dire
1.0548067180423324,abord,suis
0.7164776485763333,abord,français
0.5199378323519248,abord,france
0.4925173643351073,abord,crois
0.1335035566989653,abord,bien
-0.6672736106529307,abord,plus
13.526896662623779,hénin,beaumont
5.823935916375985,élever,leurs
4.812424990622297,élever,contre
14.599266354643419,carl,lang
9.186484829304943,copé,niche
5.082212162050414,responsable,politique
4.537557649982794,responsable,situation
1.8238618351394358,responsable,bien
9.861174095022927,novembre,2011
8.547513616119167,novembre,2005
11.248769107559283,successions,ligne
7.343152040096626,hier,soir
3.809304855102326,hier,aujourd
3.276971996964569,hier,avait
3.226972610425843,hier,était
0.903641115582591,hier,plus
14.429341353201107,calomnies,échappera
4.52188314205371,souci,faire
13.291837829451172,furet,bois
11.16630694736731,caméras,télévision
