measure,first,second
4.178769978157639,nombre,gens
3.9563775568211916,nombre,autres
3.760626568010972,nombre,années
3.694923320960145,nombre,candidats
3.613284851935786,nombre,choses
3.330159028162523,nombre,électeurs
3.2553912597605503,nombre,voix
2.8367151834183595,nombre,pays
1.5718649245558076,nombre,français
5.6993200436825475,république,française
5.292355844939383,république,démocratie
8.64144969206763,toute,série
8.463451390089636,toute,circonstance
8.463451390089634,toute,journée
7.004019771452338,toute,misère
6.178049171227384,toute,histoire
5.908862538411999,toute,façon
5.215523876646049,toute,classe
3.9715982937599588,toute,assez
3.7166012069915855,toute,immigration
1.7355309355264357,toute,france
1.5063493485273476,toute,politique
2.830597784019748,affaire,crois
10.534250632756025,bruno,gollnisch
9.056928855222841,bruno,mégret
7.556560794481117,seul,meeting
7.556560794481117,seul,moyen
6.375988548839295,seul,objectif
6.105899385471552,seul,responsable
4.7910260481181375,seul,mouvement
4.602364484094238,seul,problème
8.835420167476592,droit,asile
8.835420167476592,droit,multipliées
8.51349207258923,droit,grève
6.747957326226253,droit,vote
1.5454013205439736,droit,dire
4.662611505188366,permettez,dire
11.36391571653872,administration,fiscale
6.594528644680135,rien,offrir
6.21601702142641,rien,voir
4.009566143958983,rien,rien
2.4337928146924845,rien,dire
2.16960655646945,rien,faire
1.691490374567227,rien,plus
14.14527543006338,mariages,forcés
6.725315252215488,adversaires,politiques
1.534942628152244,évidemment,suis
0.7824640346147156,évidemment,plus
10.859873211201133,etats,unis
7.621713474006368,importe,quoi
11.92288300872693,hommage,mohammed
12.238384834454862,couper,pompes
11.752958007284619,dumping,monétaire
6.537945116313766,allez,voir
9.164727792729552,guerre,civile
8.679300965559312,guerre,algérie
8.320846994646836,guerre,mondiale
8.061352946518289,respecter,lois
9.397082580473919,aller,encontre
8.195448719304268,aller,chercher
6.522613462557777,aller,jusqu
2.6502323973758664,aller,faire
8.294006886583784,ministre,intérieur
3.9835136867587053,ministre,président
3.7862122463850874,ministre,avait
8.360640584505857,opinion,publique
9.179491145401295,ores,déjà
11.707870117756082,rouge,lèvres
5.599483526622901,verra,bien
10.530565585948171,permis,conduire
10.167995506563464,chers,compatriotes
6.431029912397257,aura,augmentation
4.2293960512276065,aura,beaucoup
3.158011417990842,aura,gens
3.054060453951932,aura,plus
4.433285886337623,combat,politique
11.074886102171984,conseils,régionaux
13.408309835897175,regroupement,familial
6.37213622334369,doivent,savoir
7.383724197618902,moyens,financiers
8.986846067458897,marie,chevallier
4.03109930550862,marie,avait
11.287294434935808,traité,lisbonne
7.672584590820598,traité,européen
6.486171466589717,important,celui
9.084579498375826,fraude,sociale
6.122820919216874,temps,temps
2.2473354609692358,temps,était
2.089654055281672,temps,ailleurs
7.494702324074074,responsables,politiques
5.237383310609788,responsables,situation
8.776041620397663,nombreuses,années
5.100710547250753,formation,politique
3.7396907290234953,immigrés,pays
11.100881310704928,soyons,sérieux
8.128467142376824,lois,françaises
5.8377899814739,lois,république
9.51591880998377,accès,logement
8.193990715096406,accès,emploi
10.501419240288655,bout,chemin
7.455277458643934,venir,soutien
3.5347119261383373,venir,france
9.238384834454862,grand,patronat
8.179491145401292,grand,orient
7.179491145401295,grand,rassemblement
6.228400745882238,grand,rôle
5.668529226123912,grand,chose
5.3859420228687185,grand,débat
4.825854190786595,grand,nombre
7.350859563713275,suis,ravie
7.350859563713271,suis,heureuse
7.180934562270961,suis,sûre
6.935822064434429,suis,choqué
6.935822064434429,suis,désolée
6.935822064434429,suis,ravi
6.865432736543035,suis,convaincu
6.765897062992115,suis,hostile
6.6138939695470675,suis,convaincue
6.350859563713275,suis,fondateur
6.350859563713275,suis,prêt
5.765897062992119,suis,étonné
5.350859563713273,suis,présidente
5.128467142376827,suis,désaccord
4.8272976076562575,suis,présent
4.765897062992115,suis,candidate
4.718591348213762,suis,obligé
4.687894550990844,suis,invité
4.263396722462932,suis,femme
4.149225702543626,suis,accord
4.113820366412423,suis,seule
3.9933075590951876,suis,responsable
3.891427945075975,suis,capable
3.7658970629921154,suis,candidat
3.5607826330875056,suis,absolument
3.4928785685857004,suis,près
3.4074430920796424,suis,contre
3.4060011179057366,suis,seul
3.102932050269686,suis,train
2.9079160678645444,suis,président
2.8590064673835958,suis,assez
2.806539047489464,suis,homme
2.378166909709009,suis,quelque
2.0289314688259115,suis,parti
1.1258931987130012,suis,plus
0.3937575221509846,suis,politique
6.70233193421465,lors,élection
6.262632380701538,lors,élections
6.238384834454861,lors,campagne
6.6236749903396515,présidentielle,fonction
4.573048917269684,présidentielle,élection
3.178364479947005,présidentielle,pense
9.052518289143526,question,posée
5.952982615592614,question,savoir
10.247429974057866,bureau,exécutif
6.745655152800145,bureau,politique
8.626950122372515,extrêmement,précis
6.739424851630927,extrêmement,grave
8.504392556602744,deuxième,tour
6.537945116313766,deuxième,liste
6.444835711922288,deuxième,position
5.772410369950791,deuxième,guerre
4.965366340048446,pris,pouvoir
9.575419821732432,prix,essence
11.92288300872693,études,supérieures
11.916456739567497,corps,électoral
10.859873211201132,prétendument,démocratique
10.22244329058584,impôts,locaux
4.301877758080243,impôts,france
10.14527543006338,ouvrir,yeux
7.299785379119005,ouvrir,compte
14.560312929342224,cohn,bendit
8.412825317019667,élection,législative
7.999313671971784,élection,présidentielle
4.586854716794713,élection,européenne
3.16489780357608,élection,avons
5.229396051227608,aime,beaucoup
13.337920508005775,giscard,estaing
9.197742849957516,crise,financière
5.23388344221992,crise,système
6.714126092564024,sera,pire
4.984773682507692,sera,probablement
4.7921286045652955,sera,candidat
2.63755156745642,sera,plus
6.075601902256567,européenne,commission
7.965366340048446,président,comité
7.70233193421465,président,sortant
7.535037188817013,président,république
6.479939512878204,président,honneur
5.894977012157048,président,groupe
5.416929715352401,président,assemblée
5.333098124548934,président,commission
5.1787699781576375,président,conseil
3.823770061664627,président,front
5.852953797261339,opposition,nationale
5.377297928459466,aucun,problème
9.194962554163734,derniers,jours
6.852953797261341,avons,invités
5.852953797261339,avons,places
4.79406010820777,avons,élus
4.322439080562562,avons,plan
4.06868248831678,avons,moyens
3.8291070553069755,avons,toujours
3.8134254330747037,avons,mêmes
3.6409033201463536,avons,millions
3.4606363744825774,avons,jamais
3.2814118123025064,avons,système
2.7099958434192946,avons,certain
2.212949932982223,avons,plus
6.694064318231051,sert,rien
7.560312929342222,leçons,donner
5.395196567369528,absolument,absolument
2.313539347800395,absolument,crois
10.183343470896899,réforme,retraites
3.1694274620565945,argent,français
6.645031063474567,mégret,amis
3.525208375778666,mégret,avait
8.429313439808233,changé,changé
7.117369433493495,changé,avis
6.778953215817564,ailleurs,remarqué
4.778953215817564,ailleurs,américains
3.0785134976764716,ailleurs,occurrence
2.5851814724208815,ailleurs,toujours
2.0028492277443988,ailleurs,puisque
1.8515985176493288,ailleurs,était
1.7879983554205694,ailleurs,certain
1.7293224480929652,ailleurs,beaucoup
1.3949034090224046,ailleurs,gens
1.3935221786240426,ailleurs,avons
1.3729608561417272,ailleurs,france
0.9954965614573261,ailleurs,faut
0.2030358546994151,ailleurs,français
0.059222159067712,ailleurs,crois
0.03210303271951176,ailleurs,faire
6.117369433493494,dernière,élection
7.9854040932849895,solidarité,nationale
5.852953797261341,jospin,chirac
4.30863328103753,jospin,avait
3.3222565649015046,jospin,crois
12.145275430063379,frédéric,mitterrand
11.14527543006338,éducation,civique
10.002317476221336,partis,gouverné
7.319322892539656,partis,politiques
4.288071958555214,partis,dont
7.412825317019667,victimes,insécurité
7.997222609098573,baisser,salaires
7.451788472564054,porter,projet
7.492430457061399,rendu,compte
10.16038232245359,prenne,responsabilités
7.823347335176017,peuple,serbe
6.238384834454861,peuple,décider
5.48774430339158,peuple,français
3.501419240288655,peuple,peuple
0.8614153760095391,peuple,plus
0.640125511120246,peuple,bien
7.121243928546631,forces,politiques
5.774224852696438,puisque,parlez
4.274653843205925,puisque,êtes
3.976854019211455,puisque,sommes
3.661812309909335,puisque,avons
3.3560814425497725,puisque,savez
1.8377899814739038,puisque,suis
11.238384834454862,proche,orient
8.664917972571535,strictement,rien
6.763011671948542,dernier,jour
6.67930096555931,dernier,moment
8.115988203095133,pire,jospin
6.730590194256163,fallait,prendre
5.168711306648051,national,rassemblement
4.098321978756649,national,extrême
3.8661485366276196,national,difficile
3.827674388812982,national,raisons
3.2427118880918275,national,demande
2.479412146112157,national,voilà
2.4608920581413596,national,celui
2.168711306648051,national,parti
2.020319466755378,national,avait
1.8088153615616651,national,vrai
1.7763938838692894,national,dont
1.683284479477809,national,sommes
1.3682427701756836,national,avons
1.3490431231515956,national,front
1.3408922820307296,national,était
1.2811860359064617,national,suis
1.1832108763431677,national,ailleurs
0.4489802498981952,national,crois
0.3476814476933683,national,france
0.23325155884275972,national,faut
0.0443831716458476,national,bien
0.006823624271156348,national,faire
-0.4712925576310667,national,plus
11.171817217515871,aide,médicale
6.396523504690565,aide,sociale
8.374446384030891,coûte,milliards
6.967025563970136,petits,enfants
4.220957762696678,abord,trouve
2.696212784809628,abord,pense
2.2951374385533043,abord,faire
1.6588593703272565,abord,dire
10.501419240288657,alliot,marie
13.238384834454859,mantes,jolie
5.394847576090612,existe,entre
3.095880629646558,existe,plus
8.26263238070154,rappelle,téléspectateurs
5.562192662560445,rappelle,avais
7.693606392488155,quelques,semaines
7.108643891766997,quelques,dizaines
6.641250987427018,quelques,jours
5.678009537437136,quelques,années
5.239888425045249,quelques,mois
4.002849227744399,quelques,voix
3.5132647751005006,quelques,millions
2.9668699306388326,quelques,autres
7.324458248199214,place,protectionnisme
6.280831315798954,place,conditions
3.8130523544481374,place,vais
2.878318125914305,place,politique
6.940245875057512,classe,politique
1.5905466961867951,gauche,crois
8.331494238846341,assume,assez
6.801867607765569,insécurité,chômage
4.388441158392707,insécurité,immigration
2.519110110158879,insécurité,bien
10.823347335176017,scrutin,majoritaire
8.06490201359936,parrainages,près
14.145275430063379,poivre,arvor
10.975350428621066,crimes,délits
5.41735497550018,régional,france
6.673600215671335,était,noir
5.088637714950179,était,nécessaire
3.9731604975302446,était,année
3.6512324026428775,était,première
3.3698194674942314,était,ministre
3.1500382596143197,était,accord
2.766709620062814,était,parti
2.5946488742765155,était,évidemment
2.2927784317304045,était,déjà
1.3661716904790886,était,ailleurs
1.296630757226012,était,plus
-0.09458410910559323,était,bien
7.142460414456323,augmentation,prix
3.5659594924833655,revanche,faut
10.14527543006338,dieu,prête
9.78270535067867,dieu,merci
8.48349733229139,totalement,faux
5.657937814856197,arriver,pouvoir
7.963377786954993,communauté,nationale
7.560312929342222,pourrait,candidate
3.114056699452661,pourrait,bien
2.8552565831307604,pourrait,dire
5.880832829836779,parait,assez
4.637976305940613,responsable,politique
8.570366594006147,charge,communauté
7.814358551948764,tient,compte
7.501419240288655,contre,trafic
6.916456739567499,contre,islamisme
6.764453646122449,contre,corruption
6.626950122372515,contre,mariage
6.179491145401293,contre,plans
5.916456739567499,contre,maastricht
4.3859420228687185,contre,jean
