#doc name topic proportion ...
0	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/0	17	0.3064082745526437	13	0.21452062836913946	1	0.17712838211593135	18	0.0468636296192356	3	0.0449426300292771	7	0.04271395858818427	12	0.03709795327818097	16	0.03677586112802801	19	0.029158149851007356	0	0.022600357464956918	14	0.014431161315548762	4	0.0068012554400201115	8	0.006487614097016295	10	0.0056839321850690495	15	0.005138949784973893	11	0.0011527319646293548	9	7.444020475613455E-4	5	6.471066410240773E-4	2	4.46035095604421E-4	6	2.569864319680773E-4	
1	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/1	17	0.3251037257852721	1	0.171485720396849	11	0.11974254895989059	13	0.1010615883816331	19	0.08886208005867088	2	0.05360597568663926	10	0.05074135968990924	9	0.035509304049993785	14	0.01872641470374644	15	0.017478696695810196	5	0.006789469904876209	3	0.00469843284643855	16	0.0025478955979819085	12	8.302294724570358E-4	4	7.654825068950285E-4	18	5.138202447302035E-4	8	4.4735277649587724E-4	0	4.3573794600048764E-4	7	3.935002405979086E-4	6	2.606640551123058E-4	
2	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/10	17	0.2754757297538436	13	0.10085540286383746	1	0.09564857838052641	16	0.08415056486842647	19	0.07643960381554801	9	0.061959415016060296	2	0.05349660895264185	12	0.049793256128199286	10	0.04247705058811756	8	0.0371699804542144	15	0.03376461021243939	5	0.025137388233555547	11	0.0215688096338911	3	0.018970223928066722	18	0.00867355869822944	6	0.008420918997030884	4	0.004844314145950646	0	4.348489548866725E-4	7	3.926974227107208E-4	14	3.2643895182360585E-4	
3	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/100	17	0.2713953363799135	1	0.15685447898947813	18	0.11884417979434253	8	0.10245627443709623	12	0.09671777992839561	7	0.07996036821434796	11	0.06849333343408742	15	0.03784500358636951	13	0.023327928759165284	19	0.015233703206596292	3	0.014889830554136604	16	0.00458289407678923	10	0.0037133135357814637	5	0.0026952246769399173	4	7.639207720205316E-4	9	7.535144071085735E-4	2	4.514950915503547E-4	0	4.348489548866725E-4	14	3.2643895182360585E-4	6	2.6013224917065475E-4	
4	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/101	1	0.21032870477722979	17	0.2024416698472275	19	0.12157196164214944	7	0.12101118857967506	5	0.11922968784808373	13	0.09901722078266569	15	0.03792237268548429	8	0.03724596955790925	4	0.02120915849656912	16	0.010725365993851547	12	0.006963332269359264	11	0.0032135958187482407	2	0.0024967857124540225	0	0.002480105544967897	10	0.0016765373146914134	9	7.550548675478214E-4	3	6.096976485037306E-4	18	5.138202447302035E-4	14	3.271063130397549E-4	6	2.606640551123058E-4	
5	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/102	17	0.20081618728914527	13	0.19338587362097145	1	0.1839640998624784	15	0.08806744849000227	19	0.0754773272799862	12	0.07121223171232599	7	0.050072522471045974	18	0.04398506973142934	8	0.03149924295109434	10	0.02860418086459523	9	0.013182965425598686	11	0.011532526556374375	3	0.0026870248466761303	6	0.0023336567677786613	4	7.749886773442031E-4	5	6.645182251444327E-4	16	5.097810785315991E-4	2	4.5803648315849833E-4	0	4.4114917244726247E-4	14	3.311684938717767E-4	
6	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/103	1	0.33298214522417635	17	0.28507689460762253	13	0.08474118560060595	16	0.07177278585867156	12	0.06162879272667871	10	0.039442780608372016	11	0.024252237675292224	15	0.022109839569352436	18	0.02148456440251342	4	0.01545520924792759	8	0.013033296560656406	9	0.011252954981055779	7	0.010882307477133998	0	0.0025424786773155295	19	9.782726909810325E-4	5	6.728743379091586E-4	3	6.250311701755495E-4	2	4.637961513794851E-4	14	3.3533283605865284E-4	6	2.6721959612175137E-4	
7	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/104	17	0.20320696712929381	13	0.17587119417469504	1	0.1405656314318834	11	0.13591891159891928	16	0.0769312900657191	12	0.06317244346786037	9	0.04901818768545172	19	0.037145379600433875	6	0.03042852137416874	15	0.01920890381028616	10	0.017741319870383264	3	0.016691647533122213	18	0.010562902593068703	7	0.008433048625503576	14	0.008367723093159106	8	0.0024516242067188056	0	0.0024401962792997274	4	7.531645453494018E-4	5	6.458050053484975E-4	2	4.45137909335276E-4	
8	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/105	1	0.4562666722813581	17	0.21351443699565323	13	0.14040858577818727	4	0.04940186648590212	2	0.044851215644405786	10	0.027095230276108932	18	0.015325695109725694	12	0.013539304100098418	5	0.009132562543184909	19	0.007327042802398024	11	0.005435766702882348	9	0.005007587665024479	3	0.0048573150464206166	7	0.00463380670720617	15	0.0011617568324904831	16	5.205553012769192E-4	8	4.624804574952188E-4	0	4.5047285990453597E-4	14	3.3816773976274694E-4	6	2.6947867051409506E-4	
9	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/JMLP.txt/106	1	0.33774292213857526	17	0.2891671487038343	2	0.1836944241628146	13	0.08028962935837228	5	0.03933850675116707	3	0.02300368525954233	10	0.009813881348463234	15	0.007227308151746782	4	0.006870493674483209	9	0.0048240657381021105	16	0.004573563108487669	8	0.004517616636279166	11	0.0032005097817522556	18	0.0025477706840255714	19	9.503874205741014E-4	12	8.268487070451732E-4	0	4.3396358382069805E-4	7	3.9189787396662546E-4	14	3.257743081594007E-4	6	2.5960260878827744E-4	
