first,second,third,likelihood_ratio
voix,front,national,770.5522297915338
manuels,salaires,intellectuels,129.91781357603594
jospin,homme,gauche,108.46000231388669
faire,quelque,chose,246.92970778273423
bien,verra,bien,124.53975042867762
rapprocher,salaires,manuels,203.02443540145504
impôt,successions,ligne,160.47076517663692
candidat,présidence,république,168.2682710991976
salaires,manuels,salaires,180.5435125887562
pays,tiers,monde,140.11520567643592
certain,nombre,gens,536.9496419801992
certain,nombre,autres,535.39066196867
suppression,impôt,revenu,240.87893007759766
majorité,socialo,communiste,141.79200154795512
monde,sait,bien,94.73673098630009
faits,divers,journaux,160.32246354704515
écarter,candidats,fantaisistes,134.8194352949704
avons,places,prison,157.58838210202245
pages,faits,divers,198.90765467031605
élire,président,république,478.6517892849374
successions,ligne,directe,139.04627931662958
faut,bien,dire,54.8993385940407
