mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
faillir,ver,5,2,1,2,,5,,,,,2,1,2,,,
faire,ver,1530,578,669,283,663,634,233,257,267,139,247,283,104,74,119,40
falloir,ver,655,256,291,108,272,244,139,125,98,49,81,122,41,50,71,18
favoriser,ver,6,3,2,1,,6,,,,,3,2,1,,,
féliciter,ver,15,3,6,6,7,5,3,1,4,2,1,2,2,1,,2
fermer,ver,27,9,17,1,6,15,6,3,2,1,5,10,,1,5,
fêter,ver,5,,3,2,,5,,,,,,3,2,,,
fier,ver,6,3,3,,,6,,,,,3,3,,,,
figurer,ver,7,4,3,,1,3,3,1,,,2,1,,1,2,
financer,ver,41,8,28,5,22,12,7,5,15,2,3,7,2,,6,1
finir,ver,64,26,28,10,18,41,5,6,9,3,18,17,6,2,2,1
fixer,ver,19,6,6,7,1,18,,1,,,5,6,7,,,
fonctionner,ver,28,16,10,2,17,7,4,9,6,2,6,1,,1,3,
fonder,ver,25,17,7,1,4,18,3,4,,,11,6,1,2,1,
forcer,ver,10,3,4,3,4,4,2,2,1,1,1,1,2,,2,
forger,ver,9,4,3,2,1,7,1,,,1,4,2,1,,1,
former,ver,12,3,6,3,,11,1,,,,3,6,2,,,1
fournir,ver,5,,3,2,1,4,,,1,,,2,2,,,
franchir,ver,6,2,4,,,6,,,,,2,4,,,,
frapper,ver,27,9,14,4,13,11,3,6,5,2,2,8,1,1,1,1
fructifier,ver,5,,5,,,5,,,,,,5,,,,
fuir,ver,13,3,9,1,2,5,6,1,1,,2,2,1,,6,
gagner,ver,60,23,24,13,24,31,5,9,8,7,9,16,6,5,,
gangrener,ver,5,2,2,1,,5,,,,,2,2,1,,,
garantir,ver,7,6,,1,1,6,,1,,,5,,1,,,
garder,ver,17,8,7,2,5,11,1,1,3,1,7,4,,,,1
gêner,ver,7,3,4,,3,4,,1,2,,2,2,,,,
généraliser,ver,20,10,9,1,4,15,1,2,2,,7,7,1,1,,
gérer,ver,16,8,6,2,5,10,1,2,2,1,6,3,1,,1,
glisser,ver,7,4,3,,1,6,,,1,,4,2,,,,
gouverner,ver,36,13,18,5,9,22,5,7,2,,6,11,5,,5,
gratter,ver,6,4,1,1,3,3,,3,,,1,1,1,,,
guider,ver,9,5,2,2,,9,,,,,5,2,2,,,
heurter,ver,6,2,1,3,3,3,,,,3,2,1,,,,
honnêteter(l'),ver,5,1,4,,2,2,1,,2,,1,1,,,1,
humaniter(l'),ver,5,2,2,1,1,4,,,,1,2,2,,,,
identiter(d'),ver,6,3,3,,4,2,,1,3,,2,,,,,
identiter(l'),ver,19,5,11,3,9,6,4,4,3,2,,5,1,1,3,
ider(l'),ver,29,9,19,1,11,9,9,5,6,,2,7,,2,6,1
ignorer,ver,9,4,3,2,2,7,,,,2,4,3,,,,
imaginer,ver,22,7,13,2,13,3,6,3,8,2,2,1,,2,4,
imaginer(l'),ver,5,3,1,1,2,2,1,2,,,1,1,,,,1
imiter,ver,7,3,4,,1,6,,,1,,3,3,,,,
immigrer(d'),ver,10,5,4,1,2,7,1,1,,1,4,3,,,1,
imploser,ver,6,4,2,,5,,1,4,1,,,,,,1,
importer,ver,22,11,9,2,11,7,4,6,4,1,3,4,,2,1,1
imposer,ver,98,34,42,22,34,55,9,9,12,13,22,26,7,3,4,2
imposer(d'),ver,9,3,6,,2,4,3,1,1,,1,3,,1,2,
imposer(s'),ver,11,4,5,2,1,10,,,1,,4,4,2,,,
incarner,ver,13,9,3,1,,11,2,,,,8,2,1,1,1,
inciter,ver,5,1,4,,,5,,,,,1,4,,,,
indigner,ver,9,6,1,2,4,4,1,2,,2,3,1,,1,,
indiquer,ver,14,7,4,3,9,3,2,4,3,2,3,,,,1,1
inféoder,ver,5,3,1,1,,5,,,,,3,1,1,,,
informer,ver,9,5,2,2,4,3,2,2,,2,1,2,,2,,
injecter,ver,5,,4,1,4,,1,,4,,,,,,,1
inquiéter(s'),ver,7,3,3,1,3,3,1,2,,1,,3,,1,,
inscrire,ver,14,6,8,,1,12,1,,1,,6,6,,,1,
