mot,type,MLP total global,MLP 2011,MLP 2012,MLP 2013,total MLP radio,MLP discours,MLP TV,MLP radio 2011,MLP radio 2012,MLP radio 2013,MLP discours 2011,MLP discours 2012,MLP discours 2013,MLP TV 2011,MLP TV 2012,MLP TV 2013
1er,adj,1,1,,,,1,,,,,1,,,,,
absent,adj,6,3,3,,3,3,,1,2,,2,1,,,,
absolu,adj,27,9,12,6,10,10,7,3,6,1,4,2,4,2,4,1
absurde,adj,28,15,10,3,13,14,1,8,4,1,7,5,2,,1,
acceptable,adj,5,3,2,,,4,1,,,,2,2,,1,,
actuel,adj,24,12,9,3,8,15,1,5,3,,6,6,3,1,,
adhérent,adj,1,,1,,1,,,,1,,,,,,,
administratif,adj,23,14,9,,3,20,,2,1,,12,8,,,,
affaire(d'),adj,11,3,4,4,3,5,3,2,1,,1,1,3,,2,1
affaire(l'),adj,23,8,11,4,11,7,5,6,2,3,2,5,,,4,1
africain,adj,6,4,2,,2,4,,1,1,,3,1,,,,
afrique(l'),adj,5,1,1,3,2,3,,,,2,1,1,1,,,
âgé,adj,28,10,17,1,1,26,1,1,,,8,17,1,1,,
agricole,adj,12,1,9,2,1,7,4,,1,,1,4,2,,4,
al(qu'),adj,8,1,7,,1,6,1,,1,,1,5,,,1,
alimentaire,adj,10,8,2,,,8,2,,,,6,2,,2,,
allemand,adj,15,3,7,5,5,6,4,1,4,,1,1,4,1,2,1
alternatif,adj,8,7,1,,3,4,1,3,,,3,1,,1,,
alternative(l'),adj,5,3,1,1,,5,,,,,3,1,1,,,
américain,adj,20,12,4,4,7,12,1,6,1,,6,3,3,,,1
ami,adj,27,11,10,6,7,18,2,3,,4,8,8,2,,2,
amoureux,adj,8,,7,1,,8,,,,,,7,1,,,
ancien,adj,13,7,4,2,3,9,1,1,1,1,6,2,1,,1,
ancien(l'),adj,10,2,4,4,5,3,2,,1,4,1,2,,1,1,
anglo-saxon,adj,5,3,2,,2,2,1,2,,,1,1,,,1,
annuel,adj,6,3,3,,,6,,,,,3,3,,,,
anonyme,adj,7,3,3,1,,7,,,,,3,3,1,,,
antidémocratique,adj,8,3,4,1,2,4,2,2,,,1,2,1,,2,
arabe,adj,12,11,1,,3,6,3,3,,,5,1,,3,,
archaïque,adj,7,,4,3,,7,,,,,,4,3,,,
argent,adj,4,1,3,,3,1,,,3,,1,,,,,
artificiel,adj,8,2,3,3,5,2,1,1,2,2,,1,1,1,,
artiste,adj,1,,1,,,1,,,,,,1,,,,
asil(d'),adj,9,5,3,1,4,3,2,4,,,1,1,1,,2,
aspirant,adj,7,2,2,3,3,3,1,2,,1,,1,2,,1,
attentif,adj,6,3,1,2,,6,,,,,3,1,2,,,
attractif,adj,5,1,3,1,1,1,3,,,1,1,,,,3,
autel(l'),adj,5,2,,3,3,1,1,1,,2,,,1,1,,
automatique,adj,17,4,9,4,10,6,1,2,4,4,2,4,,,1,
autre,adj,262,96,118,48,110,130,22,40,42,28,49,67,14,7,9,6
aveugle,adj,5,3,2,,,5,,,,,3,2,,,,
bancaire,adj,8,4,4,,4,1,3,1,3,,,1,,3,,
bas,adj,27,10,15,2,14,7,6,4,8,2,3,4,,3,3,
beau,adj,68,27,28,13,14,53,1,5,3,6,22,24,7,,1,
bénéficiaire,adj,3,2,1,,,3,,,,,2,1,,,,
blanc,adj,13,3,5,5,7,5,1,,2,5,2,3,,1,,
bleu,adj,13,3,9,1,,12,1,,,,3,8,1,,1,
bon,adj,398,139,164,95,235,84,79,78,92,65,35,36,13,26,36,17
boursier,adj,6,1,5,,2,3,1,,2,,1,2,,,1,
bref,adj,9,6,2,1,,9,,,,,6,2,1,,,
brutal,adj,6,4,1,1,3,3,,1,1,1,3,,,,,
bruxellois,adj,7,3,2,2,,7,,,,,3,2,2,,,
budgétaire,adj,18,5,10,3,4,13,1,,4,,5,5,3,,1,
cantonal,adj,19,12,6,1,2,15,2,,1,1,10,5,,2,,
capable,adj,56,18,23,15,27,20,9,6,13,8,8,6,6,4,4,1
capital,adj,3,2,1,,,3,,,,,2,1,,,,
caricatural,adj,6,5,1,,4,1,1,3,1,,1,,,1,,
catastrophique,adj,5,3,2,,2,3,,1,1,,2,1,,,,
célèbre,adj,8,4,3,1,,8,,,,,4,3,1,,,
censé,adj,17,7,6,4,9,5,3,4,2,3,1,4,,2,,1
central,adj,18,8,7,3,4,13,1,3,1,,5,5,3,,1,
certain,adj,5,2,2,1,2,3,,1,,1,1,2,,,,
charnel,adj,5,4,1,,,4,1,,,,3,1,,1,,
cher,adj,168,59,86,23,23,142,3,11,8,4,48,75,19,,3,
chinois,adj,14,5,3,6,2,6,6,2,,,3,3,,,,6
chrétien,adj,7,3,3,1,1,6,,1,,,2,3,1,,,
citoyen,adj,9,3,1,5,6,3,,2,,4,1,1,1,,,
civil,adj,24,9,12,3,10,11,3,4,4,2,3,7,1,2,1,
clair,adj,59,21,25,13,31,22,6,8,15,8,11,7,4,2,3,1
clandestin,adj,58,24,28,6,16,33,9,7,9,,15,12,6,2,7,
classique,adj,6,,5,1,2,3,1,,1,1,,3,,,1,
clé,adj,5,2,2,1,1,4,,,,1,2,2,,,,
clef,adj,1,1,,,,1,,,,,1,,,,,
cohérent,adj,19,7,8,4,10,6,3,2,4,4,4,2,,1,2,
collectif,adj,39,20,5,14,2,36,1,,1,1,20,3,13,,1,
commerçant,adj,5,3,2,,,5,,,,,3,2,,,,
commercial,adj,14,5,9,,8,6,,2,6,,3,3,,,,
commun,adj,39,13,16,10,11,25,3,3,5,3,10,9,6,,2,1
communautaire,adj,5,,4,1,,4,1,,,,,3,1,,1,
communiste,adj,5,1,3,1,2,3,,,1,1,1,2,,,,
compétitif,adj,21,13,7,1,15,2,4,10,5,,,2,,3,,1
complet,adj,7,4,2,1,1,6,,1,,,3,2,1,,,
complexe,adj,7,1,2,4,2,5,,,1,1,1,1,3,,,
complice,adj,11,1,6,4,3,7,1,,1,2,1,4,2,,1,
concret,adj,28,16,9,3,6,21,1,5,1,,11,7,3,,1,
confortable,adj,5,,2,3,2,2,1,,,2,,2,,,,1
conquérant,adj,6,1,5,,,6,,,,,1,5,,,,
conscient,adj,16,8,4,4,7,4,5,2,3,2,3,,1,3,1,1
considérable,adj,19,9,8,2,9,5,5,5,3,1,3,1,1,1,4,
consommateur,adj,5,1,3,1,,5,,,,,1,3,1,,,
content,adj,13,5,3,5,8,1,4,4,1,3,,,1,1,2,1
continent,adj,4,1,1,2,,4,,,,,1,1,2,,,
continu,adj,21,6,11,4,10,7,4,3,6,1,2,3,2,1,2,1
contradictoire,adj,10,3,6,1,8,,2,2,5,1,,,,1,1,
contraire,adj,11,3,3,5,4,5,2,2,1,1,,1,4,1,1,
correct,adj,7,2,3,2,3,2,2,1,,2,1,1,,,2,
coupable,adj,14,4,6,4,4,9,1,1,,3,3,6,,,,1
courageux,adj,16,6,9,1,6,8,2,1,4,1,4,4,,1,1,
court,adj,17,9,7,1,6,11,,4,1,1,5,6,,,,
coûteux,adj,13,7,5,1,3,10,,2,,1,5,5,,,,
crédible,adj,21,10,6,5,9,12,,3,1,5,7,5,,,,
criminel,adj,10,6,1,3,1,9,,,1,,6,,3,,,
critiquable,adj,6,1,4,1,3,,3,1,1,1,,,,,3,
croissant,adj,14,1,7,6,,14,,,,,1,7,6,,,
cruel,adj,13,5,6,2,2,9,2,,2,,4,3,2,1,1,
culturel,adj,30,21,7,2,12,18,,12,,,9,7,2,,,
cynique,adj,5,4,,1,,5,,,,,4,,1,,,
dangereux,adj,16,8,7,1,7,7,2,5,1,1,3,4,,,2,
debout,adj,7,1,6,,,7,,,,,1,6,,,,
décent,adj,5,3,2,,,4,1,,,,2,2,,1,,
décisif,adj,6,1,5,,,6,,,,,1,5,,,,
délinquant,adj,6,1,3,2,2,3,1,,1,1,1,1,1,,1,
déloyal,adj,57,18,31,8,28,21,8,11,12,5,5,13,3,2,6,
demi,adj,16,6,7,3,9,3,4,3,6,,,,3,3,1,
démocratique,adj,47,27,14,6,10,31,6,6,1,3,17,11,3,4,2,
départemental,adj,16,9,7,,1,15,,1,,,8,7,,,,
dépendant,adj,10,4,6,,1,8,1,,1,,4,4,,,1,
dérisoire,adj,11,5,6,,8,2,1,4,4,,1,1,,,1,
dernier,adj,99,37,46,16,41,46,12,18,16,7,15,22,9,4,8,
destructeur,adj,9,3,4,2,2,7,,,,2,3,4,,,,
différent,adj,58,24,23,11,24,24,10,10,9,5,10,11,3,4,3,3
difficile,adj,67,21,33,13,20,27,20,9,7,4,6,14,7,6,12,2
digne,adj,17,3,10,4,1,15,1,,,1,2,10,3,1,,
diplomatique,adj,9,5,2,2,5,3,1,2,2,1,2,,1,1,,
direct,adj,23,9,10,4,9,14,,3,4,2,6,6,2,,,
directeur,adj,1,,1,,,1,,,,,,1,,,,
directif,adj,5,2,,3,1,2,2,,,1,1,,1,1,,1
dirigeant,adj,12,7,2,3,3,7,2,3,,,3,1,3,1,1,
dispos,adj,5,1,2,2,,4,1,,,,1,1,2,,1,
divers,adj,10,3,3,4,4,4,2,1,1,2,2,1,1,,1,1
donnant,adj,11,6,5,,1,9,1,,1,,5,4,,1,,
double,adj,32,20,8,4,14,12,6,8,3,3,7,4,1,5,1,
douloureux,adj,7,1,5,1,,7,,,,,1,5,1,,,
dramatique,adj,22,8,7,7,12,7,3,3,3,6,2,4,1,3,,
drastique,adj,7,5,2,,2,5,,2,,,3,2,,,,
droit,adj,97,29,46,22,41,42,14,14,16,11,12,21,9,3,9,2
drôle,adj,6,2,3,1,2,2,2,1,1,,,2,,1,,1
dupe,adj,8,4,3,1,2,3,3,1,,1,2,1,,1,2,
dur,adj,23,6,10,7,6,15,2,2,3,1,3,6,6,1,1,
dynamique,adj,9,5,3,1,2,6,1,1,1,,3,2,1,1,,
économique,adj,261,119,106,36,116,110,35,56,39,21,49,47,14,14,20,1
écoute,adj,3,1,2,,2,,1,1,1,,,,,,1,
effectif,adj,4,2,1,1,2,2,,1,,1,1,1,,,,
efficace,adj,20,9,9,2,9,10,1,5,2,2,4,6,,,1,
égal,adj,18,6,9,3,5,9,4,1,4,,4,2,3,1,3,
électeur,adj,4,1,3,,2,1,1,,2,,1,,,,1,
électoral,adj,57,22,24,11,7,43,7,2,4,1,18,15,10,2,5,
électoraliste,adj,24,12,11,1,8,15,1,5,3,,6,8,1,1,,
élémentaire,adj,5,3,1,1,,5,,,,,3,1,1,,,
emblématique,adj,5,4,1,,,5,,,,,4,1,,,,
émergent,adj,10,6,4,,3,6,1,1,2,,4,2,,1,,
en(d'),adj,33,20,9,4,8,23,2,7,1,,12,7,4,1,1,
en(j'),adj,51,21,22,8,25,20,6,14,7,4,5,12,3,2,3,1
en(m'),adj,15,3,8,4,6,6,3,2,3,1,1,3,2,,2,1
en(n'),adj,69,20,29,20,28,30,11,13,5,10,5,16,9,2,8,1
en(qu'),adj,98,32,46,20,47,34,17,16,20,11,9,18,7,7,8,2
en(s'),adj,47,13,27,7,13,30,4,6,3,4,5,23,2,2,1,1
énergétique,adj,6,6,,,1,5,,1,,,5,,,,,
ennemi,adj,1,,1,,,1,,,,,,1,,,,
énorme,adj,15,4,8,3,10,4,1,1,6,3,2,2,,1,,
enseignant,adj,1,1,,,1,,,1,,,,,,,,
entier,adj,61,24,24,13,7,49,5,2,4,1,19,19,11,3,1,1
environnemental,adj,11,4,7,,5,5,1,2,3,,2,3,,,1,
épouvantable,adj,15,4,6,5,9,4,2,3,2,4,,4,,1,,1
esclave,adj,5,3,2,,1,4,,1,,,2,2,,,,
essentiel,adj,63,25,28,10,15,43,5,5,6,4,19,18,6,1,4,
essentiel(l'),adj,9,1,6,2,,9,,,,,1,6,2,,,
éternel,adj,12,4,5,3,,12,,,,,4,5,3,,,
ethnique,adj,8,3,2,3,6,1,1,3,1,2,,,1,,1,
étonnant,adj,12,1,5,6,10,1,1,1,3,6,,1,,,1,
étrange,adj,5,1,1,3,3,2,,,,3,1,1,,,,
étranger,adj,70,25,33,12,18,37,15,7,9,2,12,16,9,6,8,1
étudiant,adj,4,1,2,1,3,1,,1,2,,,,1,,,
européen,adj,243,79,103,61,64,147,32,22,30,12,50,54,43,7,19,6
eux(d'),adj,7,3,3,1,,4,3,,,,1,2,1,2,1,
évident,adj,29,11,12,6,12,13,4,6,3,3,5,6,2,,3,1
exceptionnel,adj,9,3,6,,2,6,1,,2,,2,4,,1,,
exclusif,adj,10,3,1,6,1,8,1,,,1,3,,5,,1,
exemplaire,adj,11,6,5,,,11,,,,,6,5,,,,
exigeant,adj,20,9,9,2,7,11,2,1,5,1,7,3,1,1,1,
exorbitant,adj,10,5,3,2,5,5,,4,,1,1,3,1,,,
expert,adj,16,12,2,2,1,14,1,,,1,11,2,1,1,,
extérieur,adj,6,5,1,,1,3,2,1,,,2,1,,2,,
extraordinaire,adj,20,7,11,2,7,12,1,4,3,,2,8,2,1,,
extrême,adj,5,2,1,2,3,2,,1,,2,1,1,,,,
facile,adj,38,16,17,5,14,13,11,7,5,2,2,8,3,7,4,
faible,adj,33,14,14,5,9,22,2,6,1,2,7,12,3,1,1,
fameux,adj,6,2,4,,2,3,1,1,1,,1,2,,,1,
familial,adj,19,11,6,2,4,12,3,3,1,,7,3,2,1,2,
fantaisiste,adj,5,2,3,,5,,,2,3,,,,,,,
favorable,adj,7,3,2,2,2,5,,,,2,3,2,,,,
féodal,adj,5,2,2,1,,4,1,,,,2,1,1,,1,
ferme,adj,15,3,7,5,4,9,2,,2,2,2,4,3,1,1,
feu,adj,4,1,3,,,4,,,,,1,3,,,,
fidèle,adj,6,3,2,1,,6,,,,,3,2,1,,,
fier,adj,26,3,18,5,,26,,,,,3,18,5,,,
fin,adj,3,,3,,,3,,,,,,3,,,,
final,adj,6,1,3,2,,5,1,,,,1,2,2,,1,
financier,adj,130,51,71,8,34,82,14,15,16,3,30,48,4,6,7,1
fiscal,adj,58,29,21,8,30,23,5,17,9,4,12,9,2,,3,2
flagrant,adj,5,3,2,,2,2,1,2,,,,2,,1,,
flou,adj,4,1,2,1,1,2,1,,1,,1,,1,,1,
fondamental,adj,54,22,19,13,9,43,2,3,3,3,19,14,10,,2,
fondamentaliste,adj,15,1,5,9,9,6,,1,1,7,,4,2,,,
fondateur,adj,5,3,1,1,,3,2,,,,2,,1,1,1,
forain,adj,12,12,,,,12,,,,,12,,,,,
formidable,adj,10,7,3,,1,9,,1,,,6,3,,,,
fort,adj,52,24,19,9,16,32,4,13,3,,10,14,8,1,2,1
fou,adj,25,14,10,1,4,16,5,4,,,8,7,1,2,3,
fragile,adj,11,5,5,1,2,9,,2,,,3,5,1,,,
frais,adj,3,,3,,,3,,,,,,3,,,,
franc,adj,5,2,2,1,4,1,,1,2,1,1,,,,,
français,adj,549,192,240,117,172,303,74,71,59,42,99,137,67,22,44,8
fraternel,adj,5,3,1,1,,5,,,,,3,1,1,,,
frontière,adj,6,3,1,2,1,5,,1,,,2,1,2,,,
funeste,adj,6,1,3,2,1,5,,,,1,1,3,1,,,
futur,adj,5,1,4,,2,2,1,,2,,1,1,,,1,
garant,adj,3,3,,,,2,1,,,,2,,,1,,
gardien,adj,1,,1,,,1,,,,,,1,,,,
gauche,adj,24,6,12,6,7,14,3,2,2,3,3,8,3,1,2,
gazier,adj,7,4,3,,3,2,2,1,2,,1,1,,2,,
général,adj,88,46,30,12,21,63,4,11,7,3,34,21,8,1,2,1
généreux,adj,6,3,2,1,4,2,,2,2,,1,,1,,,
gentil,adj,9,3,4,2,7,1,1,3,3,1,,1,,,,1
géopolitique,adj,8,5,1,2,6,2,,3,1,2,2,,,,,
global,adj,10,5,4,1,3,4,3,2,,1,2,2,,1,2,
glorieux,adj,11,5,4,2,2,8,1,,2,,4,2,2,1,,
grand,adj,476,201,203,72,170,241,65,79,63,28,94,104,43,28,36,1
grandissant,adj,6,1,3,2,2,4,,,2,,1,1,2,,,
grave,adj,53,26,21,6,20,20,13,12,6,2,7,10,3,7,5,1
grec,adj,8,4,3,1,4,1,3,3,1,,,1,,1,1,1
gros,adj,28,9,15,4,11,9,8,3,7,1,3,4,2,3,4,1
habituel,adj,5,1,4,,4,1,,,4,,1,,,,,
hallal,adj,7,2,4,1,2,5,,,2,,2,2,1,,,
haut,adj,56,18,20,18,9,39,8,3,2,4,13,15,11,2,3,3
heureux,adj,21,9,7,5,9,10,2,3,2,4,5,4,1,1,1,
histoir(d'),adj,10,6,,4,2,8,,1,,1,5,,3,,,
histoir(l'),adj,62,27,25,10,3,54,5,1,,2,25,21,8,1,4,
historique,adj,18,12,3,3,2,16,,,1,1,12,2,2,,,
homosexuel,adj,24,8,8,8,15,5,4,7,1,7,1,3,1,,4,
honnête,adj,18,6,8,4,4,14,,1,1,2,5,7,2,,,
honteux,adj,12,5,6,1,1,11,,1,,,4,6,1,,,
hospitalier,adj,7,1,6,,,6,1,,,,1,5,,,1,
humain,adj,34,11,16,7,1,30,3,1,,,9,14,7,1,2,
humaniste,adj,5,1,3,1,3,2,,1,1,1,,2,,,,
hypocrite,adj,5,1,1,3,1,2,2,,,1,1,1,,,,2
identitaire,adj,9,7,2,,3,5,1,2,1,,4,1,,1,,
idéologique,adj,29,13,10,6,10,13,6,3,4,3,6,4,3,4,2,
illégal,adj,9,4,3,2,6,2,1,3,1,2,1,1,,,1,
illégitime,adj,13,7,2,4,1,12,,,1,,7,1,4,,,
immédiat,adj,19,7,9,3,3,15,1,,3,,7,5,3,,1,
immense,adj,22,9,11,2,4,16,2,1,2,1,8,7,1,,2,
immobilier,adj,5,1,4,,,4,1,,,,,4,,1,,
impérieux,adj,5,2,2,1,,5,,,,,2,2,1,,,
important,adj,64,23,33,8,40,16,8,12,21,7,7,8,1,4,4,
imposant,adj,9,3,4,2,1,8,,,,1,3,4,1,,,
impossible,adj,10,4,4,2,,6,4,,,,1,3,2,3,1,
inacceptable,adj,11,2,8,1,,11,,,,,2,8,1,,,
inadmissible,adj,22,7,12,3,6,12,4,2,1,3,4,8,,1,3,
incapable,adj,17,5,8,4,4,10,3,,2,2,3,5,2,2,1,
incohérent,adj,5,2,1,2,3,2,,1,1,1,1,,1,,,
incompatible,adj,5,2,3,,1,4,,1,,,1,3,,,,
incontournable,adj,6,1,4,1,2,4,,,2,,1,2,1,,,
incontrôlé,adj,6,2,1,3,,6,,,,,2,1,3,,,
incroyable,adj,17,4,12,1,10,7,,1,8,1,3,4,,,,
indécent,adj,14,5,4,5,4,9,1,,,4,4,4,1,1,,
indépassable,adj,5,2,1,2,,5,,,,,2,1,2,,,
indépendant,adj,17,8,3,6,6,10,1,4,,2,4,2,4,,1,
indigne,adj,13,3,6,4,6,5,2,,3,3,2,3,,1,,1
indispensable,adj,7,2,2,3,,7,,,,,2,2,3,,,
individuel,adj,27,5,11,11,6,19,2,,2,4,4,8,7,1,1,
industriel,adj,31,13,12,6,8,21,2,4,2,2,9,8,4,,2,
inefficace,adj,7,5,1,1,6,1,,4,1,1,1,,,,,
inéluctable,adj,7,4,3,,2,4,1,2,,,2,2,,,1,
inférieur,adj,12,4,8,,6,5,1,2,4,,2,3,,,1,
infernal,adj,5,2,2,1,1,4,,1,,,1,2,1,,,
initiative(d'),adj,8,6,1,1,4,2,2,4,,,1,,1,1,1,
injuste,adj,8,4,1,3,6,1,1,4,,2,,,1,,1,
innombrable,adj,8,,8,,,7,1,,,,,7,,,1,
inouï,adj,15,2,5,8,9,4,2,1,1,7,,3,1,1,1,
inquiet,adj,17,9,5,3,10,6,1,7,3,,2,2,2,,,1
inquiétant,adj,9,5,2,2,2,4,3,1,1,,2,,2,2,1,
insensé,adj,5,2,1,2,2,2,1,1,,1,,1,1,1,,
institutionnel,adj,11,11,,,,11,,,,,11,,,,,
insupportable,adj,30,12,14,4,6,20,4,3,1,2,5,13,2,4,,
intégral,adj,5,,5,,2,3,,,2,,,3,,,,
intellectuel,adj,10,5,4,1,2,8,,,2,,5,2,1,,,
intelligent,adj,32,8,17,7,20,7,5,5,12,3,2,3,2,1,2,2
interchangeable,adj,8,4,4,,1,7,,1,,,3,4,,,,
intéressant,adj,17,5,6,6,14,,3,5,4,5,,,,,2,1
intérieur,adj,9,3,6,,6,2,1,,6,,2,,,1,,
intermédiaire(l'),adj,9,3,2,4,8,,1,2,2,4,,,,1,,
international,adj,56,21,18,17,25,23,8,11,7,7,7,6,10,3,5,
interne,adj,14,8,3,3,6,6,2,2,2,2,5,,1,1,1,
inutile,adj,13,6,4,3,3,7,3,1,1,1,2,3,2,3,,
inverse,adj,7,3,3,1,3,3,1,2,,1,1,2,,,1,
invincible,adj,5,,1,4,1,4,,,,1,,1,3,,,
invisible,adj,20,4,16,,,17,3,,,,4,13,,,3,
irréprochable,adj,9,3,5,1,,7,2,,,,3,3,1,,2,
irresponsable,adj,18,13,5,,1,17,,1,,,12,5,,,,
islamique,adj,13,2,4,7,10,3,,,3,7,2,1,,,,
italien,adj,9,5,2,2,2,4,3,1,,1,2,1,1,2,1,
jeune,adj,32,10,18,4,6,24,2,2,1,3,7,16,1,1,1,
judiciaire,adj,12,4,4,4,4,7,1,1,1,2,3,3,1,,,1
juif,adj,5,1,3,1,1,4,,,,1,1,3,,,,
juridique,adj,8,6,1,1,,8,,,,,6,1,1,,,
juste,adj,38,12,21,5,13,20,5,3,7,3,5,13,2,4,1,
laïc,adj,5,2,2,1,3,1,1,2,,1,,1,,,1,
laïque,adj,5,2,2,1,4,1,,2,1,1,,1,,,,
laitier,adj,5,,5,,,5,,,,,,5,,,,
large,adj,5,1,4,,1,3,1,,1,,1,2,,,1,
légal,adj,44,16,18,10,17,16,11,8,8,1,5,8,3,3,2,6
législatif,adj,21,8,6,7,10,10,1,3,3,4,5,2,3,,1,
légitime,adj,31,10,16,5,8,22,1,3,3,2,7,12,3,,1,
leurs,adj,24,6,16,2,7,15,2,1,4,2,5,10,,,2,
libre,adj,95,28,42,25,26,61,8,7,8,11,19,30,12,2,4,2
libyen,adj,12,6,4,2,9,1,2,4,3,2,,1,,2,,
limite,adj,3,1,2,,1,2,,1,,,,2,,,,
local,adj,56,29,21,6,6,47,3,,3,3,28,16,3,1,2,
logique,adj,19,9,8,2,6,9,4,2,4,,6,1,2,1,3,
lointain,adj,5,,2,3,,5,,,,,,2,3,,,
long,adj,36,15,14,7,10,19,7,3,4,3,8,8,3,4,2,1
lourd,adj,24,11,6,7,9,12,3,3,1,5,6,4,2,2,1,
loyal,adj,8,3,4,1,1,4,3,,1,,2,1,1,1,2,
lucide,adj,6,4,,2,3,2,1,1,,2,2,,,1,,
madame,adj,185,72,66,47,71,31,83,37,27,7,13,9,9,22,30,31
magique,adj,9,2,6,1,1,8,,,1,,2,5,1,,,
magnifique,adj,8,4,4,,,8,,,,,4,4,,,,
maître,adj,7,2,4,1,1,6,,1,,,1,4,1,,,
majeur,adj,24,11,11,2,16,3,5,6,8,2,2,1,,3,2,
majoritaire,adj,6,3,3,,2,2,2,2,,,1,1,,,2,
malade,adj,5,3,2,,3,2,,1,2,,2,,,,,
malhonnête,adj,8,2,4,2,5,2,1,1,3,1,,1,1,1,,
marin,adj,10,4,5,1,,9,1,,,,3,5,1,1,,
maritime,adj,7,6,,1,1,6,,,,1,6,,,,,
massif,adj,57,28,14,15,24,23,10,13,3,8,9,11,3,6,,4
matériel,adj,2,,2,,,2,,,,,,2,,,,
mauvais,adj,54,19,25,10,13,34,7,4,5,4,13,19,2,2,1,4
maximum,adj,1,1,,,1,,,1,,,,,,,,
médiatique,adj,16,4,10,2,2,13,1,,1,1,4,8,1,,1,
médical,adj,8,2,6,,2,5,1,1,1,,,5,,1,,
meilleur,adj,56,17,27,12,13,42,1,4,6,3,12,21,9,1,,
membre,adj,7,3,3,1,,6,1,,,,3,2,1,,1,
même,adj,791,282,368,141,391,250,150,143,163,85,87,123,40,52,82,16
méprisant,adj,5,3,1,1,,5,,,,,3,1,1,,,
mère,adj,4,,4,,,3,1,,,,,3,,,1,
merveilleux,adj,6,6,,,4,2,,4,,,2,,,,,
mien,adj,20,12,5,3,14,1,5,7,4,3,1,,,4,1,
mieux,adj,30,11,17,2,9,18,3,2,6,1,8,9,1,1,2,
migratoire,adj,22,14,4,4,1,16,5,1,,,8,4,4,5,,
militaire,adj,16,7,3,6,4,12,,1,2,1,6,1,5,,,
militant,adj,16,10,4,2,2,12,2,,1,1,9,2,1,1,1,
millénaire,adj,4,2,1,1,,4,,,,,2,1,1,,,
mineur,adj,3,,2,1,1,1,1,,1,,,,1,,1,
minimal,adj,5,2,1,2,,5,,,,,2,1,2,,,
minimum,adj,3,2,1,,2,1,,2,,,,1,,,,
ministériel,adj,7,2,3,2,1,5,1,1,,,1,2,2,,1,
moderne,adj,15,7,6,2,2,13,,1,1,,6,5,2,,,
modeste,adj,9,4,4,1,3,4,2,3,,,1,2,1,,2,
mondial,adj,43,21,16,6,11,27,5,3,5,3,15,9,3,3,2,
mondialiste,adj,24,13,10,1,4,16,4,3,1,,6,9,1,4,,
monétaire,adj,37,18,13,6,19,13,5,5,10,4,9,2,2,4,1,
monsieur,adj,548,223,208,117,473,49,26,195,179,99,16,20,13,12,9,5
moral,adj,36,15,15,6,8,27,1,2,4,2,13,10,4,,1,
mortel,adj,8,3,3,2,1,5,2,,,1,3,1,1,,2,
moyen,adj,78,24,49,5,23,50,5,12,10,1,11,35,4,1,4,
multiple,adj,11,3,7,1,3,5,3,,3,,2,2,1,1,2,
municipal,adj,33,2,8,23,12,14,7,1,2,9,1,3,10,,3,4
musulman,adj,19,4,13,2,5,11,3,1,2,2,3,8,,,3,
national,adj,307,118,143,46,67,192,48,22,36,9,82,80,30,14,27,7
nature,adj,1,,1,,,1,,,,,,1,,,,
naturel,adj,16,6,5,5,1,11,4,,,1,5,3,3,1,2,1
nécessaire,adj,37,15,13,9,14,19,4,8,1,5,6,9,4,1,3,
néfaste,adj,6,2,2,2,2,3,1,1,,1,1,1,1,,1,
négatif,adj,9,5,2,2,4,4,1,3,,1,1,2,1,1,,
négociable,adj,7,2,1,4,4,2,1,,,4,2,,,,1,
net,adj,19,8,10,1,6,10,3,4,1,1,4,6,,,3,
noble,adj,9,,9,,1,8,,,1,,,8,,,,
noir,adj,9,5,1,3,3,5,1,2,,1,2,1,2,1,,
nomade,adj,5,2,2,1,,5,,,,,2,2,1,,,
nombreux,adj,59,31,22,6,14,40,5,9,4,1,19,16,5,3,2,
nord,adj,2,,2,,1,,1,,1,,,,,,1,
normal,adj,37,14,21,2,21,11,5,12,7,2,2,9,,,5,
nôtre,adj,19,12,5,2,8,11,,7,1,,5,4,2,,,
nôtres,adj,23,10,10,3,9,10,4,5,3,1,3,5,2,2,2,
nouveau,adj,138,51,60,27,30,96,12,9,12,9,38,41,17,4,7,1
nouvel,adj,6,2,2,2,2,4,,,,2,2,2,,,,
nucléaire,adj,4,4,,,3,1,,3,,,1,,,,,
objectif,adj,11,4,,7,1,9,1,,,1,4,,5,,,1
objectif(l'),adj,19,6,12,1,12,6,1,4,8,,1,4,1,1,,
obligatoire,adj,5,1,4,,1,4,,,1,,1,3,,,,
obscur,adj,5,,,5,,5,,,,,,,5,,,
occidental,adj,5,5,,,2,3,,2,,,3,,,,,
off,adj,6,,6,,,6,,,,,,6,,,,
officiel,adj,8,4,4,,1,7,,,1,,4,3,,,,
ostentatoire,adj,6,1,5,,,6,,,,,1,5,,,,
ouvrier,adj,9,5,3,1,2,7,,,2,,5,1,1,,,
pareil,adj,6,3,2,1,4,2,,2,1,1,1,1,,,,
parent,adj,4,1,3,,1,2,1,1,,,,2,,,1,
parisien,adj,5,1,3,1,2,3,,1,1,,,2,1,,,
parlementaire,adj,5,3,2,,1,4,,,1,,3,1,,,,
particulier,adj,30,14,10,6,10,18,2,3,5,2,9,5,4,2,,
partiel,adj,12,1,9,2,8,4,,1,7,,,2,2,,,
