author,Europe,France,avenir,caste,chef,civilisastion,classe,classe moyenne,communauté,culture,devoir,droit,délinquance,démocracie,etat,euro,famille,finance,fraternité,genre,identité,immigration,immigré,intérêt,islam,islamisme,islamiste,laïcité,liberté,migratoire,millénaire,mondialisation,morale,mot,musulman,nation,nationalisation,nationalite,parole,patriote,patriotique,patriotisme,patronat,peuple,politique,priorité,protection,préférence,religieux,républicain,souveraineté,syndicats,systeme,total words,travail,vote,égalité,élites,éternel,étranger
JMLP,74,698,26,0,55,0,47,0,17,19,54,170,41,0,4,8,82,10,23,20,14,33,2,11,1,0,0,14,122,18,5,23,50,42,6,125,0,0,11,10,17,14,3,223,588,16,40,46,5,18,38,36,0,227604,188,37,16,10,6,9
MLP,47,1124,56,58,28,0,56,0,44,55,44,197,32,0,53,52,41,41,17,10,40,47,1,29,6,1,13,44,237,6,6,88,59,45,7,193,0,0,37,11,18,50,17,450,571,59,72,11,15,25,100,23,0,253568,127,75,1,54,2,18
