first,second,likelihood_ratio
chance,france,10.483168738714419
quinze,jours,62.471483571516956
quinze,vingt,33.35391401045568
jeux,olympiques,59.050307990152305
jeux,faits,34.93392027505661
appel,offre,125.44623907661791
appel,immigration,13.50610790278525
dépit,sens,23.56965912733126
gaïa,intervenus,56.80485976677811
chevalier,blanc,66.31391100511712
demi,voix,76.37183753455162
demi,siècle,46.241890397388616
demi,clandestins,23.79580824269762
demi,entre,12.298964363688029
combat,politique,46.6669794214458
combat,menons,34.69532705348222
combat,difficile,21.10167448446238
combat,contre,9.15336345841951
combat,national,7.4276547366247305
xxième,siècle,140.7295221720275
énergies,nouvelles,78.67629906024582
énergies,renouvelables,50.785350809404534
constituer,patrimoine,47.355484133966016
protections,frontières,85.86582388871338
protections,intelligentes,79.94750894684806
harlem,désir,56.5214473276196
copier,coller,73.09561569226268
protection,sociale,548.9192869009621
protection,enfance,43.25986662117053
protection,contre,8.52723713895966
mener,combat,24.141282987399087
mener,bien,22.332148980930945
mener,pays,10.016474112681221
mener,politique,9.756759448330836
millions,chômeurs,310.53651641008366
millions,euros,204.93368494340282
millions,demi,139.96198537776883
millions,immigrés,91.20622426549959
millions,habitants,89.83717984482122
millions,hectares,73.73836463173116
millions,voix,71.87270391338386
millions,vivent,67.6048712727094
millions,électeurs,66.7008475242173
millions,français,63.53551933264455
millions,emplois,59.717063102552345
millions,travailleurs,59.33940319776234
millions,étrangers,51.60260985068125
millions,pauvres,50.75828885898896
millions,crimes,34.64674862756425
millions,compatriotes,27.70042402653187
millions,fausses,26.310938198032865
millions,rmistes,25.554602629003696
millions,retraités,24.060780387791258
millions,cartes,23.238435117233827
millions,bénéficiaires,21.953782513416883
millions,familles,20.509545280770734
millions,millions,19.037185460568217
millions,gens,16.213253361547658
millions,près,15.255743465194637
millions,paysans,11.271812155006675
millions,hommes,8.257767276200541
millions,entre,2.840890708425789
millions,autres,2.7844647639412266
millions,aujourd,1.368826323313689
priorités,politiques,24.83842159137924
bruno,mégret,195.0417629761494
bruno,gollnisch,171.5845213360893
rapprocher,salaires,35.28255069574648
radeau,méduse,66.36549902217011
salaires,manuels,116.41267555570124
salaires,travailleurs,43.36887614927109
salaires,inférieurs,38.11090199457215
salaires,intellectuels,33.38825464999352
salaires,français,5.044898202427138
salaires,france,4.852508520369412
chambre,régionale,49.76611077348266
fédérale,dont,19.776423198590454
secteurs,économiques,84.52391196577929
secteurs,stratégiques,64.49745315755648
mieux,placé,35.53393480206192
mieux,vaut,26.961915391611733
mieux,cacher,25.790619366571782
mieux,faire,3.5361352847276892
mieux,plus,1.9317648640643137
permis,éviter,39.40449225126855
permis,élection,19.572238145804548
destiné,faire,21.68805922762013
diplomatique,militaire,32.161727031734515
deuxième,tour,501.6403795539346
deuxième,guerre,54.58966470662354
deuxième,position,32.52860684737896
deuxième,liste,31.553754720007944
arrivée,pouvoir,31.388594612823
arrivée,retraite,26.31584789004027
arrivée,tête,24.914415290082278
régler,problèmes,122.17937667942057
régler,problème,90.95958738061968
monopole,marchés,111.71224823351673
dumping,social,110.81520026400229
dumping,monétaire,77.34278799348462
possible,faire,4.478944227250669
possible,bien,2.5035303354615692
vivons,aujourd,24.91503653265567
jeanne,plus,4.198206523301876
racisme,anti,118.52230815054746
conséquences,dramatiques,45.317248704275954
conséquences,néfastes,39.92392127399692
conséquences,catastrophiques,37.657937412966525
partisans,nation,35.81200479112924
cesser,concurrence,25.10703676844443
réchauffement,climatique,82.79403741231717
réchauffement,planète,44.7309433715017
élus,locaux,40.558864592319175
suppose,abord,22.26902149336554
résoudre,problème,110.51717592542347
résoudre,problèmes,68.06708700044726
masses,affamées,58.547380196608245
masses,populaires,39.04515706127633
hénin,beaumont,347.506819569164
remercie,présence,48.90614734997402
remercie,chers,25.2316080656011
fierté,sommes,17.701071640654035
fierté,français,14.270873625274934
rendez,électoral,61.05065303279626
rendez,compte,31.77470214196875
colonne,vertébrale,95.15934579116474
impôts,locaux,28.613539272495064
impôts,entreprises,15.229340579287435
impôts,france,11.44820175966042
salon,agriculture,54.15206250737373
fruit,travail,57.278995110429754
forces,ordre,120.22628870764433
forces,vives,57.89647741525205
forces,productives,42.64061200852485
forces,politiques,27.81774453948652
forces,police,21.842113163383047
forces,toute,12.063574121711332
forces,france,7.269551982832577
banlieues,françaises,41.30574400911977
parmi,priorités,37.24039896064526
parmi,jeunes,31.028262672933945
parmi,autres,15.104992765437629
parmi,plus,5.879222579924698
général,gaulle,263.321636993719
général,corrèze,83.22469720145646
général,pays,4.283457008111155
général,français,2.267131320658377
année,dernière,106.5863247413071
année,2014,43.05249011689166
année,2013,42.086887665795494
année,2007,25.14370169197923
année,2012,22.17279505110086
année,après,20.378381280956667
année,année,18.29274935234756
année,électorale,16.809999808493316
année,immigration,11.244799404815641
année,france,10.226916619550503
mécanisme,européen,31.441648033509065
faveur,candidats,22.88048221296018
facile,dire,9.367691447977874
consommer,français,22.105922597505664
baguette,magique,87.69685497269938
rapports,humains,54.28379083785165
rapports,entre,38.13333089022629
ramener,niveau,30.227564720499494
pourrait,demain,23.322844769666887
pourrait,faire,22.22629487080463
pourrait,croire,18.70328315883365
pourrait,bien,8.86913208889614
pourrait,dire,8.593678792474302
redresser,france,28.00122464179816
redresser,pays,16.319366372705215
commerce,international,40.14288014216306
commerce,mondial,28.40628022298986
préoccupations,français,12.492954925849073
ascension,sociale,28.745653686536105
recherche,fondamentale,31.271222698771954
recherche,énergies,31.271222698771954
plier,lois,30.511882361205245
lendemains,chantent,73.10070661559936
lendemains,déchantent,60.20465808958456
obtenir,nationalité,23.67583739069704
obtenir,plus,5.272836378760041
insécurité,physique,52.67627365095823
insécurité,chômage,39.051131233544204
insécurité,grandissante,32.95890491838162
insécurité,immigration,21.606307444247715
insécurité,contre,5.95433956991298
insécurité,bien,4.761927235389163
chine,inde,63.19999044000727
chine,etats,42.063236455691765
chine,chine,30.137419823770777
souvenez,quelques,30.300104827879977
cent,mille,115.3870049796025
laxisme,éducatif,42.38346702299083
laxisme,judiciaire,30.3411048113193
laxisme,moral,30.195024759963342
laxisme,etat,16.99688939343021
possibilité,exprimer,40.00735564168367
possibilité,choisir,30.214314670698563
régionale,comptes,35.90820531015454
réforme,retraites,26.479928541379067
réforme,fond,24.07681078231548
montée,puissance,28.02337426859225
coûtent,cher,46.15335277209079
saccage,social,55.273569445364984
camps,roms,46.70928253006902
salaire,parental,74.14802919669044
apporter,solutions,50.77664318687565
apporter,bonheur,30.189383747903744
apporter,soutien,26.652679022401976
milliards,euros,1108.0167676728224
milliards,francs,132.66316172571914
milliards,habitants,66.17240432243482
milliards,dollars,40.19654233133927
milliards,bénéfices,36.27148024976617
milliards,supplémentaires,29.336726695213365
milliards,économie,27.558627460647628
milliards,coût,23.737169354151685
milliards,milliards,18.058389024647184
milliards,dette,17.373045890339963
milliards,intérêts,16.757565273320495
milliards,hommes,10.524996943742767
patrimoine,culturel,47.789322042081004
patrimoine,immense,26.882232586371327
patrimoine,français,7.215823500525729
pipeau,magique,70.60898019650527
opinion,publique,33.89348194720597
opinion,français,4.428164189911869
cadres,front,17.89786994670324
juin,dernier,29.32274595849689
crédits,équipement,49.791627507692375
adoption,prénatale,56.5214473276196
adoption,homosexuels,39.29923370993773
mauvaise,dépense,187.9243908887306
mauvaise,réputation,40.48759341570037
fonctions,régaliennes,47.69144697752178
puisse,dire,125.46166542825529
puisse,bénéficier,28.70447001422589
mesdames,messieurs,1689.8634738827413
raconter,histoires,67.5180684334186
cohésion,nationale,37.65816150118877
désormais,croire,21.347803456744145
professionnel,chacun,32.60944565448556
observatoire,national,26.951009422108065
socialiste,voilà,8.870496855436365
socialiste,bien,5.874927677268107
service,public,299.19621824573494
service,militaire,123.74156013995487
service,peuple,12.461393717289354
service,pays,5.200352904109832
service,france,2.9058861979199166
finances,publiques,90.55342456951703
promesse,mettre,22.828752252885405
existe,plus,34.355041544044944
existe,entre,9.942454584069878
emprunter,marchés,45.09249728376282
savoir,faire,48.876391435414945
savoir,cette,11.63053478715026
savoir,veut,10.13822819280896
savoir,était,5.409627009510946
savoir,ailleurs,5.05469830615178
responsable,politique,31.755671004493788
seront,supprimées,31.621729784760003
seront,premiers,22.467637635842358
seront,candidats,12.789953578643786
seront,plus,2.9591672217455836
abus,pouvoir,18.75871013450449
fausse,alternance,74.35108444092177
salles,shoot,62.510603881734966
poser,question,138.82124913815258
poser,questions,39.21660089005313
poser,candidature,29.452344712218117
criminels,délinquants,29.895593993000805
nationale,magistrature,26.26638419379914
nationale,populaire,21.384476304808587
nationale,représente,15.352034165917232
nationale,emploi,13.055004480302687
nationale,dans,12.78535602820972
nationale,bien,12.1950440833408
nationale,cette,11.46967025518174
nationale,française,6.582435920381732
nationale,toujours,6.3961889890003025
nationale,soit,5.245979427458036
nationale,dont,5.174421764546194
nationale,nous,4.899019469792701
nationale,rien,3.2051269040720793
nationale,crois,2.920429134989835
nationale,français,2.8615461148744963
nationale,faut,0.5841516116443182
nationale,plus,0.5283006797239098
nationale,mais,0.2935909735827076
nationale,dire,0.1891814069480755
réglera,problème,39.555302170612606
proposé,république,16.301881460579285
projet,présidentiel,159.5525768857388
projet,redressement,72.20011057133402
projet,alternatif,62.91879329500585
projet,national,36.34390324765724
projet,mondialiste,31.136769483367974
projet,collectif,25.154409725596757
projet,économique,23.402794635130977
projet,contre,21.306364983324237
projet,projet,20.420301287867332
projet,espérance,16.787750237029808
projet,européen,12.479743108007256
projet,présidentielle,9.992954202292236
projet,politique,6.336817403948708
projet,france,5.269912809649285
croissance,économique,45.403029182509684
croissance,mondiale,43.28418396209108
croissance,emploi,26.471127090769873
croissance,plus,8.790519391842363
mort,préfet,31.669974440982408
mort,france,9.68983478326951
cantines,scolaires,87.7450569540804
tiers,monde,150.554915474309
tiers,entre,13.966206699417743
socialo,communiste,189.43551471407702
parlement,européen,321.1886791760883
parlement,français,11.440264990229739
sites,internet,45.603028885000505
tours,élection,50.80511105006897
sociale,dres,39.31646269632165
sociale,importation,33.40519092326862
sociale,nouvelle,18.440519199903786
sociale,économique,10.528469720736942
sociale,pays,7.201107496045992
sociale,milliards,7.188636063478541
sociale,sera,5.948884564324418
sociale,était,5.661975610242766
sociale,politique,4.3708043464588675
sociale,contre,3.4321609653945435
sociale,faut,3.3027711055843207
sociale,mais,2.5648226788434014
sociale,plus,2.041137920837145
sociale,français,0.7167724595398499
sociale,bien,0.03751170733276965
travers,europe,13.867225242286857
effets,pervers,60.4836120142988
effets,annonce,46.49068571232677
disent,administration,25.197091947623914
disent,veut,14.324992361554472
disent,bien,3.8022538106887627
espoir,france,6.116821946203319
salariés,privé,110.53834935453989
second,tour,541.6584092912148
signatures,maires,61.138467789319556
leçons,morale,36.78152607639014
leçons,donner,33.04719945842989
communes,rurales,66.74287849361181
ingérence,affaires,31.394224420872575
parler,petite,18.0146038337439
parler,europe,12.932591575538524
parler,français,9.541561587601961
parler,france,3.7133163340320294
prouve,bien,26.171342014463526
échanges,commerciaux,44.699762294878305
soins,palliatifs,54.25868251673896
obstacle,commerce,36.2072248016025
dirigé,pendant,28.49177471936787
issus,immigration,19.052444028058154
mensonge,éhonté,50.7821026483328
logements,sociaux,107.3923007519999
démocratie,liberté,41.789991132600235
démocratie,respect,17.30320786045582
démocratie,front,6.89941589640405
démocratie,france,4.222049176157825
démocratie,bien,1.934672756786696
clique,umps,59.31837159583546
cons,quences,66.36549902217011
effondrement,économique,17.353956106723075
effondrement,euro,17.27846869774236
trente,glorieuses,70.72097413932417
capitalisations,boursières,95.15934579116474
moindre,choses,98.67010791460818
moindre,coût,39.33268696368627
comptent,faire,18.401981309529532
prospérité,france,5.846396020592993
apparaît,plus,10.084295108177624
remettent,cause,58.11169590568971
devenir,français,32.232887805804296
numerus,clausus,116.7177235353017
centaines,milliers,287.0374603509168
centaines,millions,16.132668019549897
prennent,compte,34.167225265373425
donnerai,consigne,47.49908776833747
détourner,yeux,34.92448527580028
actuelle,france,11.408357272582212
allongement,durée,42.533508715247194
allongement,espérance,36.56834854859739
unis,amérique,77.40618584512652
unis,exemple,14.523600888739402
bientôt,plus,7.075225239543368
cessé,augmenter,30.939171388049793
paraît,évident,30.767395631983867
certain,nombre,2509.6435750341516
certain,montant,24.80952756712563
certain,temps,5.805594006678946
promesses,tenues,119.03305677162172
promesses,électorales,42.24598445782688
promesses,campagne,14.737210763744454
promesses,suis,8.862791262730266
administratif,faire,18.401981309529532
domaines,bien,7.427427062601811
vote,étrangers,221.02382479407297
vote,immigrés,34.65437487727934
vote,front,8.015565500070357
profession,serait,24.933794826042657
objet,publication,66.46941637887302
objet,enquête,37.698890945574426
objet,contrôle,26.901089183106517
reste,monde,42.19031203177414
reste,france,10.559245934205402
reste,plus,4.430328769255349
quel,mépris,30.205353575620844
nombreux,mois,23.481988479474104
nombreux,plus,9.019778516109653
nombreux,pays,7.322184809490755
terrible,sentiment,25.772228525858125
modes,scrutins,48.52327479347909
transmission,savoirs,70.64444824833
transmission,savoir,35.87381524824758
5ème,puissance,40.78037496521263
santé,publique,38.66423020412889
armée,anglaise,41.014144699568504
armée,française,33.41970304218779
armée,terre,31.60233072352034
armée,afrique,26.776409530322496
installation,jeunes,67.60181347114826
école,républicaine,56.64182180178413
école,république,35.9883563148454
école,usine,27.610847254954937
école,école,13.221155187697766
école,enfants,10.665589598983921
école,nationale,8.066098205459467
électorat,captif,58.547380196608245
crimes,délits,176.72242082877835
crimes,plus,6.744477298178917
êtres,humains,64.73700349113103
prévenir,conflits,44.16537476177571
majoritairement,contre,23.407060512353766
quatre,millions,74.80974097822957
quatre,coins,52.30937246181066
quatre,points,49.46380500124329
quatre,cinq,20.51075418355395
quatre,plus,2.6159827086455567
dany,boon,95.15934579116474
voudraient,faire,24.968266248445538
vache,folle,150.8742711617628
extr,mement,66.36549902217011
candidature,arabe,34.91247059647788
candidature,président,15.811135180169114
chère,madame,41.4555590199009
génie,français,43.0139756501886
génie,peuple,31.203970034569608
essentielles,nous,18.01830107448182
personnel,politique,15.605355652133156
conférences,presse,90.48491190664231
hein,attendez,20.602016392335965
hein,donc,16.38578548403575
hein,vous,15.31959747518153
