word,raw_frequency
occidentaux,6
naïve,1
complètement,35
extrémiste,3
construise,1
dérapé,3
révoltes,1
adaptations,1
pandémies,1
perdurer,2
condamné,47
viendront,7
pionniers,3
incite,1
pâtissent,1
ménages,3
mali,5
suspense,2
quota,1
déboussolé,1
induits,1
infatuation,1
ficelles,2
sort,42
gonfle,1
sors,1
désertent,2
brandit,1
agirait,3
xiii,2
ombre,2
saccagés,2
meuble,1
jetant,2
feignons,2
obtienne,1
supprimeront,1
bûcher,4
bénéficiaire,3
oeuvre,45
vaillants,1
traditionnellement,7
empilement,1
versons,3
percevront,1
privent,2
milosevic,8
songeront,1
nixon,1
confonds,1
commissariats,6
élaborer,6
injustice,51
substituent,3
jouait,1
fret,1
votez,4
sautera,1
aigue,1
perdition,4
votes,6
voter,98
débattrai,1
cimentée,1
transformer,20
capitule,2
jaloux,1
redevenir,10
fatigue,1
nationalité,108
rabatteurs,2
préposé,2
fécondité,4
moquent,3
abandonne,7
jugement,18
deviné,1
grossièreté,1
assistance,4
courageusement,1
varient,2
surprend,4
gestation,1
déterminés,3
déterminée,3
éventualités,1
joint,3
boutoirs,2
nocives,1
surfiscalisé,1
terrifiante,9
soigner,27
partenaire,2
monstre,3
terrifiants,2
ascèses,1
empereurs,1
aiguë,1
vieillissant,1
espagne,30
jalons,1
organisent,3
concélébrant,1
xviiiè,1
berra,2
soumise,9
arrachèrent,1
basculement,3
agissait,11
quadruple,1
fatigué,1
inassimilées,1
abandonné,19
incorporant,1
simulation,1
fondamentaliste,1
champ,11
brillantes,1
escabeau,1
irlandais,2
quarante,23
griffes,5
trotskiste,3
enchères,4
forcément,22
anticipé,4
clefs,9
noires,5
dissidents,3
assistantes,2
simulacre,2
concordat,1
particulier,86
tirons,3
parall,2
gavent,1
signé,7
ation,5
frontalières,1
message,31
mûres,1
intrigue,3
dépouilles,1
stratégie,37
luttions,1
invariable,1
prévalu,1
méditerranéen,2
prédateurs,7
hérite,7
comediante,1
augmenté,37
partiellement,1
ifop,2
enfumage,4
sorganis,1
guerrier,1
résonner,1
confiants,2
conrart,1
assied,1
mangés,2
tiercé,1
bernanos,2
succulent,2
magma,12
allemand,10
syndicats,60
félicité,2
insertion,5
ladreit,2
significatifs,2
perturbe,1
pénétré,1
appareils,10
lemarc,2
aspérité,1
intempéries,1
présenter,36
allarde,1
présentez,1
jouisseur,1
interdite,5
laminer,1
triomphe,5
signe,15
préméditée,1
signa,1
gramsky,1
interdits,12
acteur,1
conviennent,1
maintien,19
augmente,7
péréquation,2
malsaines,1
perversion,2
solennellement,9
adenauer,1
confesse,3
invraisemblance,1
allumez,1
conclu,2
café,6
haveuses,1
aucunement,1
charité,4
déroulée,4
influencés,1
présidence,42
perd,11
tracts,6
donneur,3
chercheur,1
perp,1
perturbé,1
accident,4
influencée,1
mettre,250
inefficace,10
mettra,7
écartaient,3
colbert,1
pencherai,1
futurs,10
boite,1
iiième,1
exerçait,2
incitent,1
société,193
écossais,1
expression,28
future,6
demandeur,1
entrelacent,1
municipaux,12
posés,4
trébuchent,1
respecté,12
venaient,4
posée,13
fracture,22
chiffrés,1
remobilisation,1
soulevée,2
sympathique,8
payeur,1
environnementale,5
plongeait,1
endormir,3
galants,1
page,8
fatalité,23
refermant,1
redressement,61
préindustrielle,1
biniou,1
supportait,1
portugaise,2
refroidir,1
réfléchissant,1
manuels,25
transgression,1
fracassantes,1
visas,5
pôles,2
apportez,1
productiviste,1
ravier,1
habituellement,5
embranchement,1
politico,20
arrachages,1
obéissons,1
respects,2
