first,second,third,likelihood_ratio
statut,juridique,social,139.8055491716139
alors,mesdames,messieurs,1288.1256654657273
être,ultra,libéral,332.50122579356946
national,union,patriotique,118.24571554014847
décidons,plus,mêmes,141.9059681901416
électeurs,front,national,949.6996730781311
ministre,éducation,nationale,179.9661683253491
vive,front,national,933.0699992119349
vive,france,vive,243.1106208459151
ultra,libéralisme,mondialisé,156.84301402317737
création,revenu,parental,130.99465293034618
vous,voyez,mesdames,135.18708110864725
émeutes,novembre,2005,135.85948702264733
année,après,année,84.00974572652592
préférence,nationale,emploi,241.7721694266654
mesures,prendre,paris,111.38811861330184
rurale,équité,sociale,164.41884538082604
ainsi,pouvoir,achat,311.5605973723789
jours,premier,tour,115.50819361477846
matin,paysans,arrive,288.1130769281221
dette,publique,réelle,141.36565206523525
tour,élection,présidentielle,372.4968523382641
corruption,politico,financière,153.81369949052748
appel,offre,alimentaire,196.49415123651414
dotation,rurale,équité,198.5593564775671
nous,décidons,plus,137.941633412741
lutter,contre,immigration,158.00290857466692
chers,amis,chers,247.21708984199623
baisse,salaires,travailleurs,143.91860605725506
éducation,civique,morale,129.05813275462828
demain,rase,gratis,144.20201415132192
demain,voulu,faire,98.50045589479583
amis,militants,sympathisants,150.13741021691607
logement,aides,sociales,181.4413246392583
faut,bien,dire,73.94957538841638
géographie,histoire,religion,119.19539181351087
mère,arts,armes,141.03462706841367
front,national,vive,933.0699992119349
plus,important,celui,103.75806257798844
pouvoir,achat,consommation,323.2863513168588
millions,travailleurs,pauvres,186.95476372089763
millions,crimes,délits,161.78961119930884
millions,vivent,euros,149.36951741449508
millions,français,vivent,84.31886330120938
défense,sociale,nouvelle,95.1929634221811
entré,millions,immigrés,114.44051488398065
dégradation,pouvoir,achat,341.5778028016192
respect,ordre,naturel,176.61762123352386
salaires,travailleurs,français,105.60130032225831
économique,retour,croissance,104.20260439780375
compensation,dette,agricole,129.5874818971848
pouvoirs,publics,successifs,317.00205374494084
institution,droits,douane,212.59284171960672
doivent,garder,souvenir,135.4117160760846
messieurs,sarkozy,bayrou,156.78777789276575
peuples,européens,plus,93.18163252216793
réservées,familles,françaises,148.3541682942149
militants,front,national,942.9204065502963
deuxième,tour,élection,199.58647139592006
rupture,contrat,préférence,148.82026432839936
hommes,état,doivent,121.01740504227394
voilà,mesdames,messieurs,1260.841785574662
voulu,faire,hier,105.00344968655125
hausse,pouvoir,achat,322.28076988176406
voyez,mesdames,messieurs,1287.5659610432751
sarkozy,bayrou,royal,185.57995117076402
sarkozy,royal,bayrou,117.7648120101683
vivent,euros,mois,195.145148275302
partis,gouverné,france,123.34095857408111
mettre,oeuvre,grand,218.19254165584704
contre,immigration,clandestine,125.83701812310647
équité,sociale,dres,148.41765759629635
juridique,social,mère,115.19529758182614
mesdames,messieurs,chers,1261.4438326661657
mesdames,messieurs,faut,1241.129426161853
