first,second,third,likelihood_ratio
nationalité,hérite,mérite,186.43745334601724
martinez,serge,félon,158.6464087094283
condamnés,prison,ferme,283.1288886826761
partis,bande,quatre,411.40096948053997
partis,représentés,assemblée,193.4331368220138
partis,gouverné,france,98.10890932703921
pieds,noirs,harkis,353.6103581766641
pieds,poings,liés,267.84435975999247
pieds,taille,gardée,266.31106563069693
ajouter,constitution,française,122.79574260880716
économique,sociale,politique,300.0993752519312
économique,sociale,pays,294.9030555461991
économique,social,culturel,274.98908302480663
économique,équilibre,social,175.36077475660323
économique,retour,croissance,97.56030694064506
bien,front,national,12795.555613338494
bien,certain,nombre,3910.3262115626267
bien,mesdames,messieurs,2637.9417425080983
bien,vous,savez,1205.0753057509046
bien,évidemment,suis,474.7363640978124
bien,verra,bien,258.8689414267144
bien,crois,faut,206.19350173137246
bien,normal,après,92.12809165788666
sera,pire,jospin,176.07878991207753
sera,épargné,échange,174.92188889561078
sera,refuser,complice,129.17373651138465
sera,chargé,adopter,115.42841775572148
voulu,faire,hier,189.74945442203574
réveil,sera,terrible,125.22548164729562
politiciens,français,gauche,142.62276722308388
défendre,liberté,sécurité,119.0550985278676
défendre,français,abord,108.25489964889242
agriculteurs,termine,professionnelle,135.71901389750113
ingérence,affaires,intérieures,190.0674625926976
voilà,mesdames,messieurs,2711.119060651655
avons,places,prison,445.79102453896405
avons,millions,chômeurs,299.3392048173581
avons,supprimé,frontières,168.25706145055523
avons,perdu,millions,159.2002146268684
avons,plus,moyens,95.88374918281406
pape,martin,sera,190.81505958333804
état,collectivités,locales,235.56643972734093
éducation,leurs,enfants,453.4950169261173
éducation,civique,morale,236.97860045779134
supprimer,définitivement,aides,129.64867661292993
géographie,histoire,religion,161.41136063700318
obligatoire,peuple,français,963.1468570372583
rétablissement,peine,mort,638.8184440769171
parents,grands,parents,171.49719802626055
guerre,grand,chef,175.71647182242796
guerre,famine,peste,163.11894223633055
vous,savez,bien,1332.57239505138
vous,savez,suis,1311.3950890769552
vous,êtes,train,375.8566097375707
vous,voyez,bien,335.536322534473
