#doc name topic proportion ...
0	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/.DS_Store	0	0.7605492367046642	7	0.046202463807368255	4	0.04412049243656553	9	0.02869030925012869	2	0.02787243595931375	8	0.02497786108125731	6	0.02447322964739197	5	0.01897743831164211	1	0.01439177863436898	3	0.009744754167299264	
1	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/0	1	0.28852708201296956	2	0.24648393241395666	9	0.20368788674561641	7	0.11495931999596017	8	0.0626917959296931	4	0.029146182858789855	5	0.02561101993788267	0	0.01257671005630774	6	0.009616004660788815	3	0.006700065388035105	
2	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/1	9	0.3328957341776618	0	0.192829987593414	2	0.14242642933502878	4	0.1247784524718265	8	0.08222814522471104	5	0.07772664210955574	1	0.0174263537335629	7	0.013135790314369995	6	0.009755325914551367	3	0.0067971391253179615	
3	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/10	9	0.5231242571432548	8	0.08771131878642803	7	0.08076990178976187	1	0.07886687372165783	4	0.07038141581467437	2	0.0591454643597925	5	0.054507760012472754	3	0.039585919000876914	6	0.005569649465310093	0	3.374399057708055E-4	
4	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/100	5	0.5039862856751762	2	0.16858799750070302	4	0.08706915462468359	0	0.07676747363179809	7	0.0550072754404777	6	0.047699017480613976	8	0.01956766490826104	9	0.017773794067129922	3	0.01264021123107717	1	0.010901125440079288	
5	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/101	5	0.6029637775729566	8	0.11052961289947366	2	0.10464111820768678	6	0.06606826717772823	3	0.06318177335441882	4	0.03087148196978438	1	0.017004018339142633	7	0.0027193375688779843	9	0.0016886250077893092	0	3.3198790214167474E-4	
6	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/102	2	0.36242055332190654	5	0.17445196615652292	6	0.16066593292225656	1	0.09960727811188556	8	0.06596474452956382	7	0.0651958931616703	9	0.048042861523172595	4	0.008638213739403395	3	0.00863458907092464	0	0.006377967462693686	
7	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/103	2	0.3037909836918591	4	0.22566654363606511	6	0.14136522310247934	9	0.10511383581553951	0	0.06725109821443465	5	0.05992800447292124	1	0.04546233459055653	3	0.028965227286884766	8	0.013642949933615926	7	0.008813799255643892	
8	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/104	2	0.2752531366786364	8	0.21336932830133418	5	0.1512993348837432	6	0.1495717793078084	1	0.07902910363917447	0	0.05176337438718645	9	0.046974098189248074	4	0.019100950699407176	3	0.008812203398292289	7	0.004826690515169415	
9	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/105	5	0.39565419838340943	2	0.1917044181437639	8	0.11097540251266287	7	0.07094285846535119	4	0.06255550716477133	6	0.06137285498680106	9	0.049233656011371266	3	0.029503678243631083	1	0.027717895228852207	0	3.3953085938571634E-4	
10	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/106	5	0.6298211135503423	8	0.14784914775348432	2	0.10473678323933239	4	0.03769156915068106	7	0.03575538390220001	9	0.016152179158502318	0	0.010645079125868125	3	0.008830367549241278	6	0.007653859965919914	1	8.645166044283409E-4	
11	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/107	2	0.38203284356872125	5	0.22353674797817663	1	0.12973163044458083	7	0.11087453073699655	8	0.07841317703497155	4	0.038004919656219105	9	0.016286461005050656	6	0.011874262492085062	3	0.008903779195346533	0	3.4164788785186255E-4	
12	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/108	2	0.3135351309107289	5	0.24703564971969905	8	0.1154229212096667	1	0.07481748988029689	0	0.0723081405820258	6	0.06140891334345908	4	0.05455601237389167	7	0.024685879383577112	3	0.024560970189345926	9	0.011668892407308918	
13	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/109	0	0.32130585580677407	2	0.25720981060195425	6	0.14252124773348868	5	0.10335033584509326	8	0.06281996263623237	1	0.054011680625281513	9	0.02215327431958236	4	0.02102819471784353	7	0.015019055562942177	3	5.805821508078892E-4	
14	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/author/tagged_JMLP.txt_stripped.txt/11	9	0.4058489190811333	2	0.2226958295584302	1	0.12716059130780757	7	0.08912368617075785	4	0.0574265196963059	8	0.054147786046319965	5	0.028524177592571164	6	0.014128839491540842	3	5.976889101892728E-4	0	3.4596214494401963E-4	
