measure,first,second,third
19.978373524519466,défense,intérêts,électoraux
18.287922307193018,accès,logement,social
18.0904762429868,accès,logement,emploi
12.568443109222407,assemblée,nationale,bien
13.702515585930463,faut,changer,modèle
12.390326494243372,faut,mettre,place
12.297994613471296,faut,mettre,œuvre
11.786029202206766,faut,bien,admettre
10.671531260098256,faut,bien,dire
10.354355949469923,faut,dire,vérité
9.443162465689106,faut,faire,choix
16.484227209581487,poser,question,savoir
16.312465072225777,quelques,semaines,quelques
15.23455034476564,quelques,jours,après
12.930109676607124,quelques,semaines,plus
15.458223226048656,choix,économiques,choix
14.621392425429033,choix,oubliés,contre
19.60631464407971,décider,entre,maintient
20.30925825801979,ouverture,totale,frontières
10.897326197645164,avis,peuple,français
20.30985478275059,importation,droits,douane
21.20917246095872,delà,certain,montant
21.08421607168121,subviennent,leurs,propres
12.356029174407915,pouvoir,achat,français
21.20928016093569,maires,petites,communes
14.591163715377235,train,mettre,œuvre
24.786830161056642,effectifs,police,gendarmerie
18.683190157665063,responsable,politique,administratif
13.458230558745175,avenir,leurs,enfants
24.18651969600205,grandes,compagnies,pétrolières
18.786589089113413,grandes,entreprises,pétrolières
14.108517184000775,grandes,économies,faire
13.38449064554207,êtes,train,dire
17.976575864888698,gestion,argent,public
24.153815530929343,premier,rang,desquelles
19.52932466602155,premier,secrétaire,parti
17.126519601780192,candidate,élection,présidentielle
13.14242599268955,manière,plus,générale
24.96740240669846,mesures,immédiates,concrètes
19.297551008390794,soir,second,tour
19.859596202631455,réarmement,face,mondialisation
12.66499195627284,morale,publique,plus
15.098774167371378,ouvrir,yeux,français
20.551238241965333,fonction,publique,territoriale
15.49497002231859,fonction,publique,etat
20.666317353739412,emprunter,marchés,financiers
22.71901477682907,combien,mohamed,merah
17.08329665649802,sécurité,première,libertés
12.678364522628808,ailleurs,certain,nombre
10.45841178401658,ailleurs,nicolas,sarkozy
15.952367561203125,demander,avis,peuple
11.64989243565989,amis,front,national
17.92300828734001,patriotisme,économique,patriotisme
14.165525553388115,gouvernement,union,nationale
13.161363345917739,gouvernement,nicolas,sarkozy
14.117672451927344,aimerais,bien,savoir
16.05279077402589,enfants,petits,enfants
11.960032342606684,enfants,france,doivent
20.147610381402632,exception,culturelle,française
17.26925450006536,coûte,milliards,euros
25.815399313253412,chambre,régionale,comptes
23.425332000170528,droits,douane,ciblés
24.05243851055426,transmission,savoirs,fondamentaux
15.523496095489367,certain,nombre,propositions
15.392251562211111,certain,nombre,journalistes
15.33085101754697,certain,nombre,aides
15.064064476852067,certain,nombre,années
14.558261513650042,certain,nombre,responsables
14.489548763566027,certain,nombre,jeunes
14.257602035516332,certain,nombre,candidats
13.892059164968707,certain,nombre,autres
13.692777180366253,certain,nombre,temps
13.544254655656164,certain,nombre,gens
12.973299012928887,certain,nombre,pays
10.783956557659337,certain,nombre,français
15.073797501840168,croissance,plus,faible
19.159188993070813,priorité,accès,logement
17.777318357727168,priorité,accès,emploi
12.5594587487703,nation,etat,nation
27.481281809358144,nathalie,kosciusko,morizet
23.088964386579374,classes,moyennes,descendent
20.767036291692015,classes,moyennes,populaires
20.030070697525808,classes,populaires,moyennes
25.66129927897278,objet,enquête,minutieuse
22.163799619501965,protectionnisme,intelligent,raisonné
17.80624761488388,protectionnisme,intelligent,frontières
17.606938806660473,protectionnisme,frontières,nationales
14.049382463279969,protectionnisme,égard,pays
20.371792661777796,français,culte,musulman
16.25631544435786,français,prennent,conscience
15.452929424503203,français,attendent,logement
12.58198734840613,français,veulent,vivre
12.4208723097477,français,doivent,savoir
11.265884153206638,français,faire,sacrifices
10.384884037080102,français,arrivent,plus
10.272773670758568,français,doivent,pouvoir
8.856852639271573,français,bien,compris
8.747454116464812,français,peuvent,plus
19.218030668747268,système,bout,souffle
19.077018359220194,système,monétaire,international
17.47656368234612,système,protection,sociale
28.163799619501965,bernard,henri,lévy
21.77219799680779,quotas,importation,droits
17.023508303564203,politique,dissuasive,immigration
15.882698688328173,politique,agricole,française
9.845986585860285,politique,nicolas,sarkozy
9.6099471075857,politique,front,national
23.197961902679694,retour,monnaies,nationales
16.125911440418374,retour,monnaie,nationale
18.57040849671023,faisons,choix,oubliés
15.955346968106142,pays,respectent,aucune
13.066987890064429,pays,zone,euro
12.422223398904602,pays,plus,attractif
12.130551892401257,pays,union,européenne
22.077712551843558,suppression,aide,médicale
14.288180610284737,savez,quelque,chose
23.104905930448396,groupes,politico,religieux
20.39561529472504,passé,professionnel,chacun
17.423081890474652,toutes,aides,sociales
14.64172217694999,toutes,forces,toute
13.900391390222381,toutes,nations,monde
12.589991013790836,toutes,forces,france
15.950087821396291,redressement,économique,social
27.74876212022312,compagnies,pétrolières,gazières
19.666317353739412,monopole,marchés,financiers
16.026861894105217,municipaux,front,national
17.967352313990315,unes,après,autres
16.53946107418898,marche,vers,pouvoir
13.414549852589765,classe,politique,française
21.036207825737215,contribution,sociale,importation
19.64238613002353,aide,médicale,etat
13.778934380661632,élus,front,national
21.877712522848128,renégociation,traités,européens
22.028802951362607,armes,destruction,massive
17.950087821396295,bénéfice,grands,groupes
24.075158587054347,subventions,associations,communautaristes
20.49708247191843,peser,baisse,salaires
19.956514090555725,peser,baisser,salaires
19.91113418705172,etat,collectivités,territoriales
14.607179525904616,etat,fort,etat
13.384787104568165,etat,etat,fort
18.528211045710844,place,protectionnisme,intelligent
16.795794433463396,place,politique,dissuasive
14.524458910849734,place,patriotisme,économique
17.15921716776641,chacun,commencer,celui
14.666292272700126,moment,donné,faut
17.066206379142812,égalité,entre,citoyens
