word,raw_frequency
ériger,1
woerth,9
révélée,5
prête,33
imprégnés,2
interrogent,2
delevoye,1
entendaient,2
demandant,7
senteurs,1
estompe,1
diplômé,2
martins,2
paiement,7
imprégnée,2
salops,3
mimétisme,3
funestes,3
débauche,1
sauvegardée,1
sortirons,3
préalablement,4
sidère,1
médiatisation,1
bouvines,12
incendiaire,2
reconstruction,10
soigne,1
détestables,1
âgées,35
tension,6
mulhouse,1
somptuaires,4
organise,17
généreuses,2
dissoudre,13
relatives,5
dispose,20
désisteront,1
désarmement,5
indemnité,3
fossey,1
partirai,2
répondrait,1
jusque,18
sélectionnées,2
mériter,7
mérites,10
carpe,1
2eme,1
méritez,2
apprenti,3
guichet,1
libération,48
dignes,13
lâché,6
manège,2
datant,1
garantirait,2
pharaoniques,1
poigne,1
convivial,1
divorce,11
isole,1
représentations,1
révélations,13
rentables,1
désavoué,1
hôtesse,1
drapeaux,11
réfléchie,1
marigot,2
spectateurs,8
deviendront,1
3000,2
jeudi,5
carburants,1
lybie,6
supporter,11
pourvoir,1
réfléchir,24
abimer,1
aéronautique,2
discounteurs,1
kilomètres,21
martyrisés,1
repart,1
gauche,602
morceau,7
attacherai,2
gaucho,1
genre,63
effrayant,1
barthélemy,3
pollué,3
marshall,3
signifie,24
puéril,1
profondes,17
inventions,4
enserrés,1
gouvernement,504
appris,21
secrète,6
sorties,8
demanderai,15
schizophrénique,1
coupera,1
captés,1
écouteur,1
lavé,4
résipiscence,1
pleure,2
refondation,1
lâche,5
élevant,4
dénoncerons,2
isolé,4
synonymes,1
intérieur,145
maîtresse,4
divorcé,4
rencontrait,1
globale,19
introduction,6
déconsidérée,2
excitait,1
benedetti,3
babouches,2
réaffirmés,1
rouage,1
gamay,1
intrigants,4
oxygéner,3
unités,4
providence,10
courante,4
traits,4
transferts,9
puits,7
vauselle,1
signifié,2
supprimées,11
relégation,2
gamal,1
pollue,1
prend,98
ingéniosité,2
courants,14
individuels,3
dissolutions,1
perroquets,1
vous,4442
discrimination,39
éluder,3
saintes,2
suppléant,1
holala,1
railleries,3
braves,12
accepterez,1
banquets,2
stagflation,1
appuie,5
répondent,8
brûlée,8
existaient,4
tenir,67
trainent,2
appuis,4
gisbert,2
portez,2
planète,26
marqueront,1
proximité,33
portes,22
porter,84
shumann,1
bourgeois,7
glosent,2
valls,15
professons,1
transmettre,21
brogli,1
contresens,1
impliquent,2
médias,111
élitistes,1
chiffrage,27
descartes,1
venin,3
réponse,62
radio,20
micro,6
oublierai,1
repoussés,1
compromise,2
venir,187
hantée,2
chancelier,2
commissions,11
infructueuses,1
joufflu,1
hâter,2
voué,3
téléspectateur,1
inch,1
accumulant,1
gène,1
hâtez,2
restants,2
mantes,10
conduites,1
contingentements,1
formulaires,2
apprendre,33
vôtre,5
royales,1
gagnent,19
adjugerait,1
isolement,8
souffler,6
douteux,2
périlleuse,2
cyrcès,1
symbolisé,1
méchoui,1
fâchés,3
offertes,2
laissent,9
giono,1
réserverions,1
secrètement,7
propriété,26
blessée,8
1929,2
relancerait,1
accéderons,1
gilet,2
pressure,1
écrans,15
angéliste,2
1920,3
1923,1
tendrait,1
1926,1
libellule,1
monarques,1
début,97
marquera,3
gaulliste,7
soudanais,1
libyens,5
campagne,411
cruelle,14
dessin,2
gains,2
biniou,1
retardé,1
intenterait,1
roumains,6
déplacements,3
dictionnaires,1
déclenché,7
qualifier,7
bloquaient,2
envisageons,3
autan,1
qualifiez,2
bien,2963
coopératives,1
roumaine,2
musulmane,22
exonérerons,1
frondeur,1
reconfieriez,1
répercuter,1
musulmans,80
aideront,2
enchère,1
gouvernerais,2
culturelle,23
minutieusement,1
courbe,5
constituèrent,3
passerais,1
dénoncée,5
égarement,1
décisif,9
passerait,3
exporté,3
instaurant,1
association,23
accepteront,9
motivés,2
déguisement,1
gardais,1
minarets,7
américaine,44
présidentialiserais,1
bacheliers,2
xvème,1
préoccupation,14
redoutaient,1
discordants,1
américains,69
agitées,2
stupeur,1
suspendus,1
manifestiez,1
féminine,2
débrief,1
crachats,1
déclenche,2
salarial,2
prêchent,5
occidental,2
raves,2
smicards,4
ouvrage,4
mathématiquement,1
prescriptions,1
adorateurs,2
incontournables,4
diabolisés,2
traduise,1
attraper,3
vitrifié,2
salariat,4
appointés,2
uniment,1
règleront,1
brave,3
détricotés,1
quant,95
serions,25
blanc,42
bravo,5
conjectures,1
fleuron,2
quand,1466
adage,7
pareds,1
adjointe,1
cédées,2
oreilles,12
pipeaux,1
descendants,2
primo,2
mignon,1
intoxication,4
targuer,3
varier,3
prime,16
démontrer,24
descendante,2
frotte,2
considéreraient,1
rebours,5
exporte,8
molle,15
inventer,4
préférons,3
étonna,1
remontés,1
retrouvailles,1
connexion,1
langage,10
remontée,4
versera,1
replongées,1
revendications,27
israéliennes,2
serbe,7
couleurs,19
châtiments,2
montrerai,2
broutent,1
merveilleuses,1
tueur,6
étendards,1
antiquité,2
revalorisation,10
boursiers,1
résignées,1
projets,37
cornes,7
envoyés,4
neutre,7
autel,16
tiendront,2
cancun,3
tenailles,1
tiendrons,1
panacée,2
fonde,8
fonda,3
minuscules,1
latsche,1
donremy,1
clichy,3
réaliste,5
bâtardes,1
honte,37
haye,1
spectaculaire,20
formulation,6
remembrement,2
callais,1
consolidé,1
odeur,1
réviser,4
astuce,6
émergée,2
polanski,3
amandla,1
assureraient,1
prudents,3
syndicale,14
précédent,28
wanadoo,1
othon,1
belligérants,2
prudente,1
ultimatums,2
poivre,4
induite,1
loyauté,17
storming,1
délires,3
évoluerons,2
assumons,1
inimaginables,2
constituera,1
sommité,1
club,11
critiquables,2
volume,2
turques,2
rangées,2
différences,26
vider,9
vides,5
fioul,1
centre,84
réduirais,1
bénéficieraient,1
rattacher,1
proteste,1
bastien,1
alpilles,1
martinelli,1
gentillet,1
utopique,2
fondé,21
saga,2
sage,8
radicalisation,1
projeté,1
dynamisme,10
repartons,1
solutions,91
bastilles,1
infaisable,1
successives,8
pharmaceutique,2
textile,8
accablée,1
dubitative,1
volontiers,5
sécularisé,1
molière,1
amies,6
