échéances électorales
bande quatre
suffrages exprimés
droites européennes
groupe droites
forces armées
nations unies
moyen orient
quelques jours
hommes femmes
croatie slovénie
élections partielles
conseil sécurité
certain nombre
assemblée nationale
communauté européenne
pendant temps
premier tour
président république
maire communiste
toutes régions
guerre golfe
front national
europe ouest
parti socialiste
parti communiste
dont avez
dont sommes
autant plus
autres pays
pays europe
plus plus
