measure,first,second,third
22.84379533547898,acquisition,automatique,nationalité
18.2664909213729,etat,collectivités,territoriales
13.601279691542786,etat,fort,etat
18.851453422094053,aide,médicale,etat
18.536366810286733,contre,plans,renflouement
16.167133000621007,coûte,milliards,euros
21.012394939454722,devant,commission,discipline
18.508352434117135,bonne,dépense,publique
17.424157306700707,bonne,gestion,argent
13.739376445048308,manière,plus,générale
15.09411910830216,empêcher,front,national
14.842580341306203,adhérents,front,national
17.3681572609382,enfants,petits,enfants
18.680959758822986,systèmes,protection,sociale
20.798152669923265,dominique,strauss,kahn
20.86696449993316,exception,culturelle,française
12.23730847235203,enfin,veux,dire
19.98366993816621,choses,soient,claires
20.22343892822263,conseils,régionaux,conseils
14.962315445304306,jours,plus,tard
20.766351250053624,élections,cantonales,mars
13.218845816922151,français,doivent,savoir
9.142441302661076,français,peuvent,plus
17.46319421588965,candidate,élection,présidentielle
19.6909438473956,fonction,publique,territoriale
15.385135417871517,fonction,publique,etat
20.158448766568583,peser,baisse,salaires
11.955055070564615,celui,front,national
16.815889338909095,euros,fraude,sociale
19.53722428136153,emprunter,marchés,financiers
17.714512318534013,bénéfice,grands,groupes
19.58642967973187,liberté,égalité,fraternité
15.54275648557583,retour,monnaie,nationale
11.61979129605388,intérêt,français,intérêt
9.118486724379629,intérêt,france,français
13.544053084520925,classe,politique,française
13.994583434751249,électeurs,front,national
19.017172079716595,banque,france,prérogative
16.293184339548603,perte,pouvoir,achat
20.481696802116083,aura,préparé,sortie
17.229316433422994,hommes,femmes,gauche
20.05719897358817,niche,fiscale,copé
14.630219326826172,emploi,pouvoir,achat
14.373899186808057,milliards,euros,dette
13.889599025092107,milliards,euros,voyez
20.159768707228718,concurrence,internationale,déloyale
15.36068140115471,concurrence,déloyale,pays
15.53315582511771,lorsqu,était,ministre
17.1466233311718,gestion,argent,public
22.702439486233438,baisse,allocations,familiales
13.672544936570098,baisse,salaires,français
15.009119807421861,choix,oubliés,contre
16.350811157130657,pourrons,plus,décider
21.065009565618148,conseil,général,corrèze
11.00393483148435,autres,pays,monde
25.93125817672932,couple,franco,allemand
15.350340134552802,strauss,kahn,sarkozy
16.117476985512276,strictement,rien,voir
12.082586338842269,faut,mettre,place
9.614719703883452,faut,bien,dire
18.359031663935617,chine,etats,unis
21.42029625745194,initiative,populaire,proportionnelle
18.731585831892954,faisons,choix,oubliés
22.2252802750468,millions,fausses,cartes
14.28929676791795,millions,chômeurs,pays
12.882366921181099,avons,certain,nombre
12.40109572350217,pense,certain,nombre
21.7422243523393,référendum,initiative,populaire
14.136976350773491,république,vive,france
13.601872921298373,jour,plus,nombreux
13.070968463610303,beaucoup,plus,facile
14.57954593547241,front,national,monter
12.055983979415394,front,national,parti
11.357153514135959,front,national,gens
10.729880208556839,front,national,était
9.45370200249421,front,national,bien
16.6149766449831,mettre,protections,frontières
15.573156469288474,mettre,place,protectionnisme
13.424322539259716,suis,présidente,front
21.103439152111996,prêter,trésor,intérêt
17.916470519456183,simple,bonne,raison
14.844458491105868,protectionnisme,égard,pays
16.269658200451588,fort,etat,stratège
22.05351392678032,quotas,importation,droits
18.30463652437094,1700,milliards,euros
17.029184597418578,poser,question,savoir
14.295358710782939,grandes,économies,faire
20.84379533547898,protections,intelligentes,frontières
17.830771039016568,anticiper,sortie,euro
6.2033235448081,aujourd,plus,plus
21.07469925667094,mauvaise,dépense,publique
14.640946480136545,présidente,front,national
12.89691772203479,responsables,politiques,français
10.003849406291149,france,nicolas,sarkozy
21.70886575539287,prix,essence,pompe
16.350340134552802,sarkozy,dominique,strauss
15.779607346755899,certain,nombre,propositions
13.112850754871097,certain,nombre,autres
12.395557539960734,certain,nombre,pays
13.780955548799703,plus,grand,bénéfice
12.92175318753688,plus,faible,monde
10.87575330334396,plus,facile,dire
10.743891926170793,plus,plus,nombreux
12.920191477244234,gouvernement,nicolas,sarkozy
15.867728270428714,pays,respectent,aucune
24.901510833335266,bleu,blanc,rouge
13.49802049863725,êtes,train,dire
17.89893688967144,lutter,contre,corruption
19.191477566956053,système,monétaire,international
18.698437555675945,système,bout,souffle
16.696066651213194,système,protection,sociale
18.03765327187103,droit,vote,étrangers
15.980264944749674,toute,série,gens
15.718457842299888,toute,misère,monde
13.490703659927988,toute,classe,politique
9.69541221933947,peuple,peuple,peuple
15.39947060923189,projet,redressement,économique
16.68997013427122,président,conseil,général
20.70886575539287,régionaux,conseils,généraux
18.72277993451761,aller,emprunter,marchés
18.80313493434263,vive,république,vive
14.331618422028818,vive,front,national
17.280206485550387,ambassadeur,france,tunisie
9.910681839266232,intérêts,france,français
17.689275027034988,était,trompé,porte
19.245808538295407,préparé,sortie,euro
11.712386592130837,nicolas,sarkozy,soit
18.041602118537156,retrouver,souveraineté,monétaire
