measure,first,second,third
11.25976913655014,électeurs,front,national
12.613810901353833,monde,besoin,france
10.674806635828983,front,national,avons
10.037376715213693,front,national,autres
8.92189949779376,front,national,front
14.93104694606236,pendant,campagne,électorale
10.220322934867127,faut,bien,dire
14.626192364533939,campagne,électorale,européenne
10.07214213337437,campagne,front,national
8.743193610809236,national,front,national
17.794266570288308,barrer,route,front
19.579595186015915,représentés,assemblée,nationale
17.994632685294757,liste,arrivée,tête
11.385300018633998,liste,front,national
11.144291919130204,élus,front,national
13.10776604310509,route,front,national
11.037376715213696,voix,front,national
17.294192967153666,pouvoir,socialo,communistes
