measure,first,second,third
11.635545842064243,dire,quelque,chose
12.3445192466652,jospin,homme,gauche
14.235124758686222,élire,président,république
17.364407775631193,avons,places,prison
20.701442762908762,peser,baisse,salaires
23.43479710352259,pages,faits,divers
22.756725198409953,successions,ligne,directe
14.264872102080279,présidence,république,jamais
17.93974157515457,compte,rendu,mandat
10.216725847860715,faut,abord,faire
8.581921396652245,faut,bien,dire
19.342039962602737,armées,chef,justice
13.66900191511225,certain,nombre,autres
13.071100358683598,certain,nombre,gens
20.60190708935785,manuels,salaires,intellectuels
14.805440483442982,candidats,présidence,république
19.730662901823756,majorité,socialo,communiste
11.784923466102466,faire,quelque,chose
14.290032659134411,pays,tiers,monde
12.856613135432497,président,république,chef
11.121729853450098,président,front,national
10.572159745963798,président,république,était
19.033917667240406,chef,armées,chef
18.01694458863669,salaires,travailleurs,manuels
17.93894207663542,salaires,manuels,salaires
12.212877741508294,celui,front,national
11.723883074265082,celui,jacques,chirac
14.904976156993897,verra,bien,verra
22.01975960424375,faits,divers,journaux
13.507204304123025,premier,ministre,président
11.61957393813164,monde,sait,bien
20.697831509356384,impôt,successions,ligne
17.679909601359114,impôt,revenu,travail
17.469012818860506,impôt,revenu,impôt
20.60190708935785,rapprocher,salaires,manuels
21.39040298416414,écarter,candidats,fantaisistes
13.472166146669988,mort,france,pendant
10.638189616298991,bien,verra,bien
15.548665068080869,candidat,présidence,république
13.151477196844148,programme,front,national
13.79229407474207,suis,candidat,présidence
19.20597841302671,suppression,impôt,revenu
13.310174942863203,voix,front,national
11.382469635156276,crois,aura,beaucoup
