measure,first,second,third
20.21621742423307,etat,collectivités,territoriales
18.57878750361777,aide,médicale,etat
19.003162867475957,chers,compatriotes,métropole
14.29534361896927,chers,compatriotes,chers
19.077304330228465,contre,mariage,homosexuel
15.115372371061987,contre,concurrence,déloyale
13.10002440672855,contre,front,national
15.509348254813002,avez,monde,meilleur
18.69187329303495,obtenir,nationalité,française
14.445723045034338,déjà,certain,nombre
19.34342278513558,décider,entre,maintient
21.39923242511583,syndicat,défense,intérêts
16.62437674580712,toutes,aides,sociales
13.362379131279813,toutes,forces,france
11.335837343827322,enfants,france,doivent
20.123108019841595,maires,petites,communes
27.984194925836984,écarter,candidatures,fantaisistes
13.93344284836061,beaucoup,plus,proches
18.310591392668208,outre,étranger,chers
11.878401484802648,sert,plus,rien
16.619513069972417,politique,dissuasive,immigration
15.634619962362628,politique,agricole,française
11.62535273912923,enfin,veux,dire
13.952321450717118,moment,donné,faut
27.39923242511583,bernard,henri,lévy
14.72671730424969,ensemble,classe,politique
21.650294189283546,élections,cantonales,mars
19.31176958386549,gagner,allons,gagner
26.984194925836988,grosses,capitalisations,boursières
19.657765438714684,abattue,france,halal
11.795173138271249,hollande,nicolas,sarkozy
16.26926972688833,franc,euro,veut
17.064741864121395,marine,candidat,socialiste
14.452052108481588,autres,grands,candidats
24.439874409613175,2000,lionel,jospin
22.47640028563829,vents,mondialisation,sauvage
15.874058302512278,candidate,élection,présidentielle
18.49234182950731,novembre,2011,contre
18.943220327019674,jean,françois,copé
15.91928378913801,économique,patriotisme,social
14.883532586831787,augmenter,pouvoir,achat
17.499120362138367,unes,après,autres
20.402859820620314,contribution,sociale,importation
20.146566992665583,citoyens,part,entière
12.62820212428202,veut,dire,quoi
11.852136710426873,veut,rien,dire
13.712166632140484,vais,mettre,place
15.613978642051315,suis,seule,vouloir
22.688262039482563,retour,monnaies,nationales
12.06608484127229,veux,mettre,place
19.733896507930652,constitution,européenne,2005
22.13870487489261,droits,douane,ciblés
20.988663297780846,banques,dépôt,banques
16.992274551333225,banques,marchés,financiers
12.076177664774175,pouvoir,achat,français
12.06534769867254,bien,chers,compatriotes
9.088506863357487,bien,vais,dire
19.432726973210087,banque,centrale,européenne
17.134203482657664,banque,france,prêter
22.96252088297861,équivalent,ville,rennes
17.488589694646198,place,protectionnisme,intelligent
16.397120648635973,place,politique,dissuasive
15.67574923350487,strictement,rien,voir
10.372103952165347,liberté,peuple,français
16.370889855184817,main,main,main
14.445520972754316,français,attendent,logement
11.819287999161297,français,toute,série
20.11152004556638,chèque,premier,logement
25.13870487489261,signe,religieux,ostentatoire
22.541251429988257,salariale,cotisations,sociales
15.239501217038526,avons,millions,chômeurs
12.024010058189628,avons,plus,moyens
19.308017449004375,concurrence,internationale,déloyale
14.274070117081045,concurrence,déloyale,pays
21.421952501615905,suppression,aide,médicale
13.063613333053489,nation,etat,nation
16.719752325610376,toute,série,propositions
16.511165703798966,toute,série,mesures
21.39923242511583,défense,intérêts,électoraux
22.58616385186383,effectifs,police,gendarmerie
17.26096062494361,entre,maintient,territoire
16.150267161508168,élever,leurs,enfants
16.670272666964685,compte,tenu,situation
20.831276349700364,combien,mohamed,merah
12.859685844877411,projet,contre,projet
16.555409492984918,charge,communauté,nationale
14.241237533170711,échec,nicolas,sarkozy
14.860558472033158,donner,droit,vote
13.796069745581445,donner,pouvoir,achat
12.62820212428202,dire,quoi,veut
10.10793579771455,dire,vérité,français
9.69871029876996,dire,nicolas,sarkozy
