measure,first,second,third
21.962158116170436,installation,jeunes,agriculteurs
14.906498795615128,école,nationale,magistrature
14.180481945814812,faut,faire,cesser
9.915170571090957,faut,bien,dire
16.642692315572862,sarkozy,ségolène,royal
14.78580684556869,certain,nombre,gens
10.627052337973488,plus,plus,nombreux
22.978966403856987,avez,oublié,gouvernait
20.984612966998128,passer,unanimité,majorité
21.394003903135836,pensent,avez,oublié
13.716944987423883,crois,certain,nombre
17.497839714120374,soit,milliards,francs
16.794349298377732,référendum,constitution,européenne
22.054153900251208,bompard,bompard,bompard
16.95729236099862,droit,vote,étrangers
17.356304436351387,premier,ministre,villepin
21.832609873553082,unanimité,majorité,qualifiée
15.409704130940899,front,national,vive
13.458593267517262,hommes,politiques,français
16.295533111021587,première,guerre,mondiale
17.78708467217598,tour,élection,présidentielle
18.355694546238354,mesure,intérêt,général
24.335110214082263,fabius,strauss,kahn
16.8190950670786,milliards,euros,2005
13.106676293568896,politique,économique,sociale
16.932524455849673,français,origine,étrangère
