resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
30,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20060924.txt,JMLP,"Jean-Marie Le Pen, Président du Front National",24/09/2006,DL Radio ,Europe 1,Paris,00 :50 :00,Le grand rendez- vous Europe 1 TV5Monde Le Parisien,
42,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20061218.txt,JMLP,Jean-Marie Le Pen,18/12/2006,DL Radio ,RTL,Paris,00 :09 :16,L’invité de RTL,
22,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070223.txt,JMLP,L’imaginaire historique des candidats à l’élection présidentielle,23/02/2007,DL Radio ,France Culture,Paris,00 :54 :00,La fabrique de l’histoire,
67,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070411.txt,JMLP,Jean-Marie Le Pen,11/04/2007,DL Radio ,Europe 1,Paris,00 :29 :00,L’interview de Jean-Pierre Elkabbach,
74,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070416.txt,JMLP,Campagne officielle pour l’élection du Président de la République,16/04/2007,DL Radio ,France Inter,Paris,00 :10 :30,Campagne officielle pour l’élection du Président de la République,
83,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070418.txt,JMLP,L’entretien d’embauche pour devenir président : Jean-Marie Le Pen,18/04/2007,DL Radio ,RMC,Paris,00 :36 :00,L’invité de Jean- Jacques Bourdin,
89,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070420.txt,JMLP,Campagne officielle pour l’élection du Président de la République,20/04/2007,DL Radio ,France Inter,Paris,00 :21 :30,Campagne officielle pour l’élection du Président de la République,
118,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20070913.TXT,JMLP,Jean-Marie Le Pen,13/09/2007,DL Radio ,Radio France Internationale,Paris,00 :15 :00,Invité matin,
3,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20080224.TXT,JMLP,Jean-Marie Le Pen,24/02/2008,DL Radio ,RTL,Paris,01 :00 :00,Le grand jury RTL Le Figaro LCI,
5,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20080305.txt,JMLP,Jean-Marie Le Pen,05/03/2008,DL Radio ,France Info,Pars,00 :10 :00,C’est vous qui le dites,
19,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20080806.txt,JMLP,Jean-Marie Le Pen,06/08/2008,DL Radio ,RTL,Paris,00 :07 :00,L’invité de RTL,
24,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20080915.txt,JMLP,Jean-Marie Le Pen,15/09/2008,DL Radio ,France Culture,Paris,00 :10 :00,En toute franchise,
3,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20090206.txt,JMLP,Jean-Marie Le Pen,06/02/2009,DL Radio ,Radio Classique,Paris,00 :09 :00,L’invité de Jean- Luc Hees,
13,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20090430.txt,JMLP,Jean-Marie Le Pen,30/04/2009,DL Radio ,France Info,Paris,00 :16 :20,L’invité de France Info,
22,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20090820.txt,JMLP,Jean-Marie Le Pen,20/08/2009,DL Radio ,RTL,Paris,00 :08 :38,L’invité de RTL,
25,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20090928.txt,JMLP,Jean-Marie Le Pen,28/09/2009,DL Radio ,Radio Classique,Paris,00 :15 :37,L’invité de Guillaume Durand,
32,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20091216.txt,JMLP,Jean-Marie Le Pen,16/12/2009,DL Radio ,France Inter,Paris,00 :35 :11,Les questions du mercredi,
2,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20100110.txt,JMLP,Jean-Marie Le Pen,10/01/2010,DL Radio ,BFM La radio de l’éco,Paris,01 :00 :00,La tribune BFM,
10,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20100311.txt,JMLP,Jean-Marie Le Pen,11/03/2010,DL Radio ,RMC,Paris,00 :23 :35,Bourdin direct,
23,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20100415.txt,JMLP,Jean-Marie Le Pen,15/04/2010,DL Radio ,Radio Classique,Paris,00 :14 :58,L’invité de Guillaume Durand,
33,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20100728.txt,JMLP,Jean-Marie Le Pen,28/07/2010,DL Radio ,Europe 1,Paris,00 :10 :01,L’interview de Thierry Guerrier,
,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050213.txt,JMLP,Jean-Marie Le Pen,13/02/2005,DL Radio ,,,,,
,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050912.txt,JMLP,Jean-Marie Le Pen,"12/09/2005
",DL Radio ,,,,,
,JMLP-CLean-Txt/JMLP radio CLEAN .txt/JMLP20050523.txt,JMLP,Jean-Marie Le Pen,23/05/2005,DL Radio ,,,,,
