resource number,filename,author,title,date,media,name of publication / chaîne de diffusion,place,length (h:mm:ss),title of collection / émission,prepared by
,MLP-CLean-Txt/MLP Texte CLean .txt/2014/20140618 MLP-VA.txt,MLP,,18/06/2014,,,,,,
,MLP-CLean-Txt/MLP Texte CLean .txt/2014/20140514 MLP txt.txt,MLP,,14/05/2014,,,,,,
