#doc name topic proportion ...
0	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/.DS_Store	36	0.6978947571775488	10	0.025755386511497107	21	0.023011959651346236	0	0.02046901740857991	31	0.01687413348923409	15	0.014344961570002958	35	0.013975856561152567	4	0.013112809996197006	2	0.01285332213188286	28	0.011869719899007439	5	0.01070253030443655	19	0.010366893707299894	23	0.009744875915732044	34	0.008466180818911422	24	0.006878304760505848	1	0.006293385085827101	26	0.0062870033175961	7	0.006200758705318818	11	0.006001081165580776	13	0.005892311161835815	17	0.0058882477441742145	18	0.005373054410549753	9	0.004941280536092945	25	0.004890208546398442	37	0.004885346003433116	22	0.004877755378278538	12	0.004823061863509396	6	0.0048220053018615035	32	0.0038932316250483157	16	0.003847158703316684	3	0.003838460719098647	29	0.003758190289815556	33	0.003172682615918676	14	0.0027592986967138367	39	0.0026906301518390035	30	0.0024609174324949426	27	0.0018400934843369877	38	0.0015890221578905384	8	0.0014947041926543173	20	0.0011594008070812474	
1	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1997.sgml_stripped.txt/0	0	0.29835214138109434	2	0.15407751650213186	10	0.08691526147001208	9	0.06667572128039356	21	0.05356067939958802	28	0.05287767594565381	17	0.0461897985113395	31	0.04212230141484214	4	0.02924929424058445	24	0.02254590623819523	23	0.019561012126034043	13	0.019324855384489865	7	0.017763457356297387	27	0.017496154778576765	1	0.01618882979768551	19	0.01485822466012353	15	0.010361158291686294	35	0.007177921831397744	37	0.00662068645978904	34	0.005259881118440696	25	0.0034603736786912786	26	0.001965689788062823	6	0.001875887492743925	32	0.0018189549869563496	5	6.560498899901475E-4	11	3.678577426563506E-4	18	3.293605955491682E-4	22	2.9899946912478805E-4	12	2.9564683443683993E-4	16	2.3582535833038452E-4	3	2.3529218426527457E-4	29	2.3037172108482422E-4	33	1.9448093319430045E-4	14	1.691410867277495E-4	39	1.6493180256508348E-4	30	1.50850739492313E-4	36	1.1170984621097679E-4	38	9.740479888609641E-5	8	9.162324172557456E-5	20	7.106962094980815E-5	
2	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/0	9	0.19316919433258925	2	0.18364564856852064	0	0.1416305238216453	21	0.10733316891929626	4	0.07408572127833905	5	0.06172040541388122	39	0.052972698903951204	28	0.03949035515110415	37	0.026764997085728937	7	0.020780740245910586	35	0.01733421254166585	25	0.01256051933057751	33	0.010396061353803944	15	0.009246202883128092	17	0.006551280964397656	12	0.0064674366333078185	10	0.006085823890880666	6	0.004438087681802293	3	0.004360669609392889	27	0.004203371463490068	19	0.0028452785441142174	34	0.0026956670973108682	13	0.002493069237512688	32	0.002335715023943206	31	0.001328219290930163	23	7.670516644457062E-4	24	5.414142941105368E-4	1	4.953733168924425E-4	26	4.948709866435992E-4	11	4.723651010374841E-4	18	4.2293102184256257E-4	22	3.83944384107274E-4	16	3.028226846892762E-4	29	2.958196843176694E-4	14	2.1719359757062858E-4	30	1.9370701371489933E-4	36	1.4344630185377148E-4	38	1.250772304943693E-4	8	1.1765314907484301E-4	20	9.126030198041359E-5	
3	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/1	2	0.2455200731173315	9	0.15931827421621636	0	0.1238698614911817	27	0.10813479502999836	21	0.07516999614565832	17	0.05344128719410552	28	0.041688816314333105	39	0.038925820071563116	4	0.029561851694404603	6	0.02279398988354616	16	0.01864187339055558	37	0.012611320024095938	38	0.012350798050421068	10	0.012223229612223717	19	0.011007014002021405	31	0.007446237438717683	25	0.006499098770075995	5	0.004920935176194518	30	0.004269566757231112	15	0.0031712762498621663	35	0.0011045691824339047	23	7.701774539586654E-4	34	6.691169435350439E-4	24	5.436205954604203E-4	1	4.973919980200837E-4	26	4.968876207401254E-4	7	4.900713558152807E-4	11	4.742900220663406E-4	13	4.6569348320060425E-4	18	4.246544955198356E-4	22	3.855089844921377E-4	12	3.8118633202152555E-4	32	3.07698040137212E-4	3	3.0336927112464563E-4	29	2.970251703492202E-4	33	2.507501009225117E-4	14	2.1807867676546842E-4	36	1.4403085562868746E-4	8	1.1813259393702258E-4	20	9.163219413331833E-5	
4	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/2	2	0.19279006994731543	9	0.18798191386300386	0	0.10795155072293063	13	0.09426758564384737	21	0.09148314382401841	28	0.08016109116103541	1	0.04844652785379807	35	0.03656213025570799	39	0.0335655145985286	10	0.03334596073291885	12	0.027485165675747533	31	0.01803820154719544	8	0.012626336366254192	7	0.006754054783553695	4	0.005228617873440026	17	0.004644540264847109	38	0.0042969646870278455	5	0.002949506955558382	24	0.0026403332738182046	15	0.001159734051266391	19	8.381228196076989E-4	23	7.878351133733903E-4	34	6.844576147489763E-4	26	5.0827963478744E-4	11	4.851639468097923E-4	18	4.343904393757349E-4	25	3.9535423928298643E-4	37	3.9496112169775527E-4	22	3.9434744933486985E-4	6	3.8984027365049996E-4	32	3.1475255357095997E-4	16	3.110277380032949E-4	3	3.103245399901243E-4	29	3.0383498965601676E-4	33	2.564989836735449E-4	14	2.2307851021962348E-4	30	1.9895555173793725E-4	27	1.4876436307515212E-4	36	1.4733301382720471E-4	20	9.373302176351396E-5	
5	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/3	2	0.20518744602047448	13	0.18830260385930667	9	0.15556016314850818	0	0.11187259471795927	28	0.08056614121306013	39	0.0655473324976569	21	0.038572956537635775	31	0.02583669730069659	18	0.022884168850694962	4	0.01941373192179578	1	0.01887366443552866	10	0.018373271359822984	15	0.013386227093092761	29	0.01254780288164916	19	0.006946096544338687	11	0.0025169535904724393	22	0.002427991289078839	16	0.0023463727123047883	35	0.0011068243760458186	5	8.475918005087585E-4	23	7.71749921579372E-4	34	6.704830763954217E-4	24	5.447305030277179E-4	26	4.979021138166596E-4	7	4.91071932156349E-4	17	4.663224831288163E-4	25	3.872823107061866E-4	37	3.868972193838735E-4	12	3.8196459833077527E-4	6	3.8188092344605066E-4	32	3.083262657527292E-4	3	3.039886587131928E-4	33	2.5126205620315897E-4	14	2.1852392695582084E-4	30	1.9489348576262613E-4	27	1.4572704819598568E-4	36	1.443249227371112E-4	38	1.2584333924253816E-4	8	1.183737846885322E-4	20	9.181927914541307E-5	
6	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/4	0	0.1520854746018877	13	0.14280219207520053	28	0.12903990600211293	9	0.11832647611954644	21	0.11161820349277386	2	0.08234946822606129	10	0.0670999611267345	7	0.0513238768234022	1	0.041164222184911135	25	0.04105354889698032	15	0.017398572354799396	22	0.008518293409544686	5	0.006944321064578009	11	0.006573501841468322	31	0.005397704239499502	19	0.002851064110968345	26	0.0025292693323799623	29	0.0023298132807125695	39	0.0022456111955053517	35	0.001102323160207645	4	0.0010342517534408808	23	7.686113812243677E-4	34	6.677563664421403E-4	24	5.425152016476342E-4	17	4.6442605024191625E-4	18	4.237910064323372E-4	37	3.853237919013151E-4	12	3.8041123075337294E-4	6	3.803278961563439E-4	32	3.0707236937967564E-4	16	3.0343844193766247E-4	3	3.027524024517312E-4	33	2.502402276534895E-4	14	2.1763523731153646E-4	30	1.941008960222324E-4	27	1.4513440774499247E-4	36	1.4373798442772164E-4	38	1.253315615441188E-4	8	1.1789238405624026E-4	20	9.144586995558698E-5	
7	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/5	9	0.13871929399319458	2	0.1333200191830087	0	0.13190740951922253	28	0.13123867242138346	21	0.08398863370832282	15	0.04722723316684025	10	0.04610972627165756	22	0.038471579952827954	31	0.037399640573082316	18	0.02848582022387263	13	0.02451649003714115	16	0.02034773477286957	19	0.0188498961364486	27	0.014177085940901064	4	0.013048869945878649	7	0.012511344047369958	24	0.010559178940874396	14	0.010238858338172206	30	0.010215654277554328	5	0.008851720021923765	23	0.008777246611052449	11	0.006481249393221287	17	0.006472474735211529	29	0.006306827664776696	35	0.005096564126319907	12	0.002379928022222661	34	6.5838508137636E-4	1	4.894144054435412E-4	26	4.889181177920057E-4	25	3.8029430514595244E-4	37	3.7991616229566383E-4	6	3.749903788933641E-4	32	3.027629193258874E-4	3	2.9850357876347235E-4	33	2.4672835921446377E-4	39	2.0924083590503627E-4	36	1.417207672291349E-4	38	1.2357265986980419E-4	8	1.1623788371210732E-4	20	9.016251968218103E-5	
8	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/6	4	0.14417902370536934	7	0.1164823651095023	21	0.0832106067095901	1	0.0809579111850827	2	0.07447305600769795	0	0.0653111341734952	13	0.05907242814699494	31	0.05555498654151149	15	0.04858835580805891	28	0.04845715362564471	9	0.03989082218397093	10	0.03962757668227423	26	0.03859563931912843	35	0.02943759528200119	18	0.016682970928648223	3	0.013868600577656957	25	0.012557835333114512	39	0.012441244905141778	30	0.006963012849298357	5	0.0019338102432019208	23	0.001883048999453939	17	0.0016786253107298572	37	0.0016254656945703131	32	0.0015728778712584027	29	0.0015657198962993192	19	5.49505567554022E-4	34	4.4875674693519986E-4	24	3.645900949644953E-4	11	3.180921503524413E-4	22	2.5854936041673195E-4	12	2.5565028652600817E-4	6	2.5559428262316385E-4	16	2.0392175191762812E-4	33	1.6817060256936396E-4	14	1.4625885431053813E-4	27	9.753564018420043E-5	36	9.659719254566756E-5	38	8.422740189886444E-5	8	7.922800203223177E-5	20	6.145497547343011E-5	
9	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1999.sgml_stripped.txt/0	9	0.17824093735877408	0	0.1289316559094032	21	0.12508888380919514	2	0.11822930604466941	35	0.09406454847051786	17	0.08938839257762635	28	0.05549923603755436	4	0.039428182392987995	10	0.03839823601397228	6	0.028672907214807544	16	0.020512231007697133	39	0.014358375051168618	5	0.010944342802667852	3	0.008385169705439594	31	0.007386040171750439	18	0.006484411192342028	29	0.006357813654919705	25	0.004425495174623249	14	0.0042584421476996	23	0.002785014381665693	1	0.0025144341923535197	11	0.0024915189786169907	13	0.0024829919363459248	37	0.002404050737710647	27	0.0021653176673570754	15	0.001124575613429676	19	8.127143313249479E-4	34	6.637076329115537E-4	24	5.392258290588457E-4	26	4.928706555272134E-4	7	4.861094950121833E-4	22	3.8239243234768435E-4	12	3.7810472529305195E-4	32	3.0521053134906527E-4	33	2.487229736798576E-4	30	1.9292402546653966E-4	36	1.428664737594338E-4	38	1.2457165250967845E-4	8	1.1717758016620404E-4	20	9.089141629774241E-5	
