#doc name topic proportion ...
0	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/.DS_Store	15	0.7776774898696559	14	0.02675204723545175	19	0.02577524426004616	3	0.01967662951354785	13	0.016722665168384096	12	0.015433513907397426	6	0.015172382366639899	18	0.013217578407046597	10	0.012334895905881719	5	0.011253720969486554	17	0.010841516029993834	4	0.00916600614906697	11	0.008405129327132027	2	0.00817296143607821	0	0.007953407850722512	1	0.005499407003356241	8	0.004694340388091516	7	0.004024770479232774	9	0.003963585785988256	16	0.0032627079467995768	
1	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1997.sgml_stripped.txt/0	13	0.2951177696154876	14	0.28295169273782783	19	0.11115351538413712	12	0.061283599252795404	5	0.05787156108689092	9	0.04474584963176877	6	0.031054898666016247	3	0.0297142458996297	4	0.01800031733969657	1	0.01620693679134653	18	0.01504436016885786	2	0.01476484955632987	16	0.009722115521942	7	0.008174116921411009	17	0.0021909261746492783	10	6.834481844634823E-4	11	4.657088655340809E-4	0	4.406800184898157E-4	8	2.601025934856001E-4	15	1.5330558924032028E-4	
2	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/0	13	0.44714312157034514	14	0.30670828421926194	12	0.12179325238355977	19	0.038658813448300834	2	0.01899336482368146	8	0.016699775121827277	3	0.011630708861815027	4	0.008835906543415243	11	0.008781674328232889	5	0.006939062695673133	10	0.004970476765630219	1	0.004483270828543541	6	0.001081425904450676	18	9.420954032187119E-4	17	7.727393098219858E-4	0	5.668866675377293E-4	7	2.868693228612978E-4	9	2.8250832597685505E-4	16	2.3255259504164082E-4	15	1.9721088080457545E-4	
3	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/1	13	0.4777367514887468	14	0.17856303346864844	9	0.10093218884372666	12	0.07915851161517173	5	0.03572428906308321	0	0.027271884052976286	10	0.01731520456005255	3	0.01578659186497161	17	0.013100222367018088	11	0.012925853204488419	1	0.0127178942759877	2	0.006747082955306	19	0.005952804991177035	6	0.005193971368173203	8	0.004444070951049714	18	0.0030000170554727993	16	0.0022875593724597985	4	6.559996465574427E-4	7	2.88047811545521E-4	15	1.9802104338702156E-4	
4	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/2	13	0.3816022661641921	14	0.22892461717584117	5	0.1500329965425884	2	0.10567518495442335	19	0.048121109101179435	12	0.020043903514329078	16	0.019152718140359123	4	0.011178837768173255	11	0.009021589240439278	18	0.007272437476730305	8	0.0066483387041471045	10	0.005106269947235262	7	0.002396241269791812	3	0.0014407858023757405	6	0.0011109704071532952	17	7.938505098898747E-4	0	5.823739835084475E-4	1	4.026841856460164E-4	9	2.902264395951666E-4	15	2.025986724017042E-4	
5	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/3	13	0.3799226636613057	5	0.22927606807721915	14	0.19745507920288713	12	0.06285520802542985	19	0.04713064230304686	18	0.0194724258390717	6	0.017554337444690555	9	0.016750486679820768	4	0.010948746071246537	2	0.006760970336075686	16	0.004350547047270942	17	0.002835790088504508	3	0.0014111304073291828	10	8.846101753374669E-4	11	6.027827867005305E-4	0	5.703871007134458E-4	1	3.943958206547436E-4	8	3.366596123298658E-4	7	2.8864069437582046E-4	15	1.984286259894799E-4	
6	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/4	14	0.2683900093940389	13	0.19592925715931925	5	0.1811897673110383	2	0.1235741865849544	12	0.10564418158987772	19	0.07358535399523697	7	0.02898523064131191	10	0.007030506401150862	4	0.004754336849043257	3	0.0034551861702551857	1	0.00244261987196022	6	0.0010836426555526166	18	9.440265489538228E-4	17	7.743233025019383E-4	11	6.003115690218157E-4	0	5.68048695042127E-4	8	3.352794150116034E-4	9	2.8308742311179447E-4	16	2.3302929087368638E-4	15	1.9761513174358018E-4	
7	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/5	13	0.29419986409521615	5	0.18064751750903799	14	0.1211134587452655	12	0.10010806048076687	19	0.098815395421208	7	0.05282533724988365	9	0.030591744184338295	18	0.029222489639711982	2	0.0288672894798315	8	0.020538977443077526	4	0.014791302864526887	11	0.010696040046447104	6	0.0071308458035979645	17	0.0048050579678416945	3	0.003406309422487796	10	8.685212421662301E-4	0	5.60013130120565E-4	1	3.8722270849931477E-4	16	2.2973287982339395E-4	15	1.948196861515596E-4	
8	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1998.sgml_stripped.txt/6	13	0.18353231840668097	2	0.18312303355896084	14	0.1785167445319635	5	0.13380927859155206	12	0.12988760086738801	18	0.04322436054468809	8	0.034572803523158224	11	0.033376520373297726	19	0.0273384332352366	10	0.0198254112725934	17	0.019753921338646164	1	0.0071328793198942066	6	0.003474167003990103	3	9.419444891016089E-4	4	4.3878800346575916E-4	0	3.807394294539795E-4	7	1.9267071986093343E-4	9	1.897417332385363E-4	16	1.5618984785579514E-4	15	1.3245320897347341E-4	
9	file:/Users/widner/Projects/DLCL/Alduy/Rhetoric_of_LePen/chunks/stripped/1999.sgml_stripped.txt/0	13	0.3842018075961806	14	0.1811825036029157	9	0.17549022784691143	19	0.08332216716820573	0	0.0555720129470381	18	0.02742331855821706	8	0.02478097959935775	5	0.019134663313603296	12	0.015356743203385547	10	0.015136786183545418	16	0.008380854827489233	3	0.005471380738118057	6	0.0010770194995344958	17	7.695906869901194E-4	4	6.506537415708751E-4	11	5.966425023228062E-4	2	5.801619431206762E-4	1	3.903782830779627E-4	7	2.8570043797574536E-4	15	1.964073204393899E-4	
